"";"x"
"1";1
"2";0
"3";1
"4";2
"5";2
"6";2
"7";2
"8";2
"9";1
"10";2
"11";1
"12";1
"13";2
"14";1
"15";1
"16";1
"17";2
"18";2
"19";2
"20";2
"21";1
"22";1
"23";2
"24";2
"25";2
"26";2
"27";2
"28";2
"29";2
"30";1
"31";0
"32";1
"33";0
"34";0
"35";2
"36";2
"37";2
"38";2
"39";2
"40";2
"41";1
"42";2
"43";2
"44";2
"45";2
"46";2
"47";1
"48";2
"49";0
"50";2
"51";1
"52";2
"53";2
"54";2
"55";0
"56";0
"57";2
"58";0
"59";0
"60";1
"61";2
"62";2
"63";2
"64";2
"65";1
"66";2
"67";2
"68";0
"69";0
"70";2
"71";0
"72";0
"73";2
"74";0
"75";2
"76";0
"77";0
"78";0
"79";0
"80";2
"81";2
"82";0
"83";2
"84";2
"85";2
"86";2
"87";2
"88";1
"89";2
"90";2
"91";2
"92";2
"93";2
"94";2
"95";2
"96";0
"97";0
"98";2
"99";2
"100";0
"101";0
"102";1
"103";0
"104";0
"105";0
"106";0
"107";0
"108";0
"109";2
"110";1
"111";1
"112";2
"113";2
"114";2
"115";2
"116";2
"117";2
"118";0
"119";2
"120";2
"121";2
"122";1
"123";2
"124";2
"125";2
"126";0
"127";1
"128";2
"129";2
"130";2
"131";2
"132";1
"133";2
"134";2
"135";2
"136";1
"137";2
"138";0
"139";1
"140";2
"141";2
"142";0
"143";2
"144";0
"145";2
"146";2
"147";2
"148";2
"149";2
"150";0
"151";2
"152";2
"153";1
"154";1
"155";2
"156";1
"157";1
"158";0
"159";2
"160";0
"161";2
"162";2
"163";2
"164";2
"165";1
"166";1
"167";0
"168";1
"169";2
"170";2
"171";0
"172";2
"173";2
"174";2
"175";2
"176";1
"177";1
"178";2
"179";1
"180";2
"181";2
"182";2
"183";2
"184";2
"185";2
"186";2
"187";0
"188";0
"189";0
"190";0
"191";0
"192";2
"193";0
"194";2
"195";2
"196";0
"197";2
"198";2
"199";2
"200";1
"201";1
"202";2
"203";2
"204";2
"205";2
"206";2
"207";2
"208";2
"209";2
"210";0
"211";2
"212";2
"213";2
"214";2
"215";2
"216";2
"217";2
"218";1
"219";2
"220";2
"221";1
"222";2
"223";2
"224";2
"225";2
"226";1
"227";2
"228";2
"229";2
"230";2
"231";2
"232";2
"233";2
"234";2
"235";2
"236";2
"237";2
"238";2
"239";2
"240";2
"241";2
"242";2
"243";2
"244";2
"245";2
"246";1
"247";2
"248";2
"249";2
"250";1
"251";1
"252";2
"253";2
"254";2
"255";2
"256";2
"257";0
"258";2
"259";2
"260";0
"261";0
"262";0
"263";2
"264";0
"265";0
"266";0
"267";2
"268";2
"269";0
"270";2
"271";2
"272";1
"273";2
"274";2
"275";2
"276";2
"277";2
"278";2
"279";2
"280";2
"281";0
"282";2
"283";1
"284";1
"285";1
"286";0
"287";2
"288";2
"289";2
"290";2
"291";2
"292";2
"293";2
"294";0
"295";0
"296";0
"297";2
"298";2
"299";2
"300";2
"301";2
"302";1
"303";2
"304";0
"305";0
"306";0
"307";0
"308";1
"309";2
"310";1
"311";0
"312";2
"313";2
"314";2
"315";0
"316";2
"317";0
"318";2
"319";2
"320";2
"321";2
"322";2
"323";2
"324";2
"325";2
"326";2
"327";2
"328";2
"329";2
"330";2
"331";2
"332";2
"333";2
"334";2
"335";2
"336";2
"337";2
"338";2
"339";2
"340";2
"341";2
"342";2
"343";2
"344";2
"345";2
"346";2
"347";2
"348";2
"349";2
"350";2
"351";2
"352";1
"353";2
"354";0
"355";2
"356";2
"357";0
"358";0
"359";0
"360";2
"361";2
"362";1
"363";1
"364";1
"365";0
"366";0
"367";1
"368";1
"369";1
"370";2
"371";2
"372";1
"373";2
"374";1
"375";1
"376";1
"377";1
"378";2
"379";2
"380";1
"381";1
"382";2
"383";2
"384";2
"385";1
"386";1
"387";2
"388";2
"389";2
"390";1
"391";1
"392";1
"393";0
"394";1
"395";0
"396";0
"397";1
"398";0
"399";0
"400";0
"401";2
"402";2
"403";0
"404";0
"405";0
"406";0
"407";1
"408";0
"409";0
"410";0
"411";0
"412";0
"413";0
"414";0
"415";0
"416";0
"417";0
"418";0
"419";0
"420";0
"421";0
"422";2
"423";0
"424";0
"425";0
"426";0
"427";0
"428";0
"429";0
"430";0
"431";0
"432";0
"433";0
"434";0
"435";0
"436";0
"437";0
"438";0
"439";0
"440";0
"441";0
"442";0
"443";0
"444";0
"445";0
"446";0
"447";0
"448";0
"449";0
"450";0
"451";0
"452";0
"453";0
"454";0
"455";0
"456";0
"457";0
"458";0
"459";0
"460";1
"461";1
"462";1
"463";1
"464";0
"465";1
"466";1
"467";1
"468";0
"469";1
"470";1
"471";0
"472";0
"473";1
"474";1
"475";1
"476";1
"477";1
"478";2
"479";1
"480";1
"481";1
"482";2
"483";1
"484";1
"485";1
"486";2
"487";0
"488";1
"489";1
"490";1
"491";1
"492";1
"493";1
"494";1
"495";2
"496";0
"497";1
"498";0
"499";2
"500";1
"501";2
"502";0
"503";1
"504";0
"505";2
"506";0
"507";0
"508";2
"509";0
"510";0
"511";2
"512";1
"513";0
"514";1
"515";2
"516";0
"517";1
"518";1
"519";2
"520";0
"521";2
"522";2
"523";1
"524";1
"525";1
"526";2
"527";2
"528";1
"529";1
"530";1
"531";1
"532";1
"533";2
"534";0
"535";1
"536";0
"537";2
"538";2
"539";1
"540";0
"541";1
"542";1
"543";1
"544";1
"545";1
"546";1
"547";1
"548";1
"549";1
"550";0
"551";2
"552";2
"553";1
"554";1
"555";1
"556";1
"557";2
"558";2
"559";2
"560";2
"561";1
"562";1
"563";1
"564";0
"565";0
"566";0
"567";1
"568";1
"569";0
"570";2
"571";1
"572";1
"573";2
"574";2
"575";2
"576";2
"577";2
"578";2
"579";2
"580";1
"581";1
"582";0
"583";1
"584";1
"585";2
"586";2
"587";1
"588";1
"589";2
"590";1
"591";1
"592";2
"593";1
"594";2
"595";1
"596";1
"597";1
"598";2
"599";1
"600";2
"601";2
"602";1
"603";2
"604";1
"605";1
"606";0
"607";0
"608";1
"609";2
"610";0
"611";2
"612";1
"613";0
"614";1
"615";2
"616";1
"617";2
"618";2
"619";0
"620";1
"621";1
"622";1
"623";2
"624";2
"625";0
"626";1
"627";0
"628";1
"629";2
"630";2
"631";2
"632";2
"633";2
"634";1
"635";0
"636";1
"637";0
"638";1
"639";2
"640";1
"641";1
"642";1
"643";2
"644";0
"645";0
"646";1
"647";2
"648";1
"649";1
"650";1
"651";2
"652";2
"653";2
"654";0
"655";1
"656";2
"657";1
"658";2
"659";0
"660";1
"661";1
"662";1
"663";1
"664";1
"665";1
"666";1
"667";2
"668";1
"669";1
"670";1
"671";0
"672";0
"673";2
"674";0
"675";2
