"";"x"
"639";0
"640";2
"641";2
"642";3
"643";4
"644";0
"645";0
"646";3
"647";0
"648";3
"649";2
"650";2
"651";0
"652";0
"653";1
"654";0
"655";3
"656";0
"657";2
"658";1
"659";0
"660";3
"661";2
"662";2
"663";2
"664";2
"665";2
"666";2
"667";0
"668";3
"669";2
"670";2
"671";0
"672";0
"673";4
"674";0
"675";1
"676";2
"677";2
"678";2
"679";3
"680";2
"681";2
"682";2
"683";1
"684";2
"685";1
"686";0
"687";0
"688";1
"689";2
"690";2
"691";2
"692";2
"693";2
"694";4
"695";2
"696";1
"697";3
"698";3
"699";3
"700";1
"701";3
"702";0
"703";2
"704";2
"705";3
"706";1
"707";2
"708";1
"709";3
"710";3
"711";3
"712";4
"713";3
"714";2
"715";1
"716";1
"717";3
"718";2
"719";2
"720";4
"721";2
"722";2
"723";2
"724";1
"725";0
"726";0
"727";1
"728";0
"729";2
"730";0
"731";0
"732";2
"733";2
"734";1
"735";0
"736";1
"737";2
"738";1
"739";2
"740";2
"741";3
"742";3
"743";2
"744";2
"745";2
"746";2
"747";1
"748";2
"749";2
"750";1
"751";2
"752";3
"753";0
"754";0
"755";2
"756";2
"757";0
"758";2
"759";1
"760";2
"761";2
"762";2
"763";1
"764";1
"765";1
"766";2
"767";2
"768";4
"769";2
"770";2
"771";3
"772";2
"773";3
"774";2
"775";0
"776";0
"777";2
"778";1
"779";2
"780";0
"781";3
"782";1
"783";2
"784";4
"785";1
"786";2
"787";2
"788";2
"789";1
"790";2
"791";2
"792";3
"793";2
"794";2
"795";3
"796";2
"797";0
"798";1
"799";3
"800";0
"801";2
"802";3
"803";3
"804";2
"805";3
"806";3
"807";3
"808";0
"809";1
"810";2
"811";2
"812";3
"813";2
"814";1
"815";0
"816";0
"817";1
"818";2
"819";2
"820";0
"821";2
"822";2
"823";1
"824";2
"825";2
"826";2
"827";2
"828";3
"829";2
"830";3
"831";3
"832";3
"833";3
"834";3
"835";3
"836";3
"837";0
"838";5
"839";3
"840";3
"841";2
"842";1
"843";2
"844";2
"845";2
"846";2
"847";2
"848";2
"849";2
"850";2
"851";2
"852";2
"853";1
"854";1
"855";3
"856";3
"857";3
"858";3
"859";3
"860";2
"861";3
