"";"X.phase_Après";"X.phase_Début";"X.phase_Fin";"X.phase_Pic"
"nom";-3,3783;0,7385;0,869;2,9593
"ver";-0,4041;0,7272;-0,3994;0,3683
"sw";4,3013;-2,0065;-1,5139;-2,186
"num";-2,01;0,5357;1,5866;0,8097
"nr";-0,5223;1,0144;0,8864;-0,7209
"adj";0,8915;-0,5569;-0,852;-0,2383
