"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"mass";"chi.distance";"inertie"
"being";-0,977082297844231;0,133829160826967;-0,583443807384104;-0,852702758223408;0,116793124611569;-0,509173224120887;0,808142947236224;0,0110621531642703;0,180794899599506;0,00203953932498858;3,82623202882411e-05;0,000727223429816169;0,00213633715284521;0,209252819210294;9,35432444789308e-05
"on";-0,0350418248938368;0,948676398636672;0,669988982615544;-0,0301580831507164;0,816460381269669;0,576613333038408;0,00130694485147234;0,698927752473679;0,299765302674849;1,55011491499069e-05;0,0113612641496341;0,00566664214288285;0,0126238104486308;0,186613195780946;0,000439617695586044
"of";0,870626232600015;-1,26661037967272;-0,190446690084274;0,562155273807196;-0,817838560487158;-0,122969659310949;0,388450027291938;0,599887766251371;0,0116622064566919;0,0198735006759225;0,0420626821277492;0,000950950114225574;0,026218683239464;0,268935687693652;0,00189630307934741
"or";-0,977082297844231;0,133829160826967;-0,583443807384104;-0,852702758223408;0,116793124611569;-0,509173224120887;0,808142947236224;0,0110621531642703;0,180794899599506;0,00463531664770132;8,69598188369115e-05;0,00165278052230947;0,00485531171101185;0,209252819210294;0,000212598282906661
"your";-0,977082297844231;0,133829160826967;-0,583443807384104;-0,852702758223408;0,116793124611569;-0,509173224120887;0,808142947236224;0,0110621531642703;0,180794899599506;0,00203953932498858;3,82623202882411e-05;0,000727223429816169;0,00213633715284521;0,209252819210294;9,35432444789308e-05
"there";-0,977082297844231;0,133829160826967;-0,583443807384104;-0,852702758223408;0,116793124611569;-0,509173224120887;0,808142947236224;0,0110621531642703;0,180794899599506;0,00296660265452884;5,56542840556234e-05;0,00105777953427806;0,00310739949504758;0,209252819210294;0,000136062901060263
"with";0,562221204871256;1,05197931201173;-0,694567295758302;0,407323596498814;0,762148409021836;-0,503207005476629;0,221625306141918;0,56615006910369;0,212224624754389;0,00251695475072487;0,00881201774886928;0,00384140082769801;0,00796271120605943;0,229922680323006;0,000420944260245391
"as";-0,977082297844231;0,133829160826968;-0,583443807384104;-0,852702758223408;0,116793124611569;-0,509173224120887;0,808142947236224;0,0110621531642704;0,180794899599506;0,0038936659840691;7,30462478230059e-05;0,00138833563873996;0,00407846183724995;0,209252819210294;0,000178582557641595
"at";1,10659833696449;-0,875605384298915;-0,260120155303204;0,77120818623403;-0,610225063354298;-0,181282391698313;0,670469439701413;0,306286650665748;0,0232439096328398;0,00594561992315292;0,00372249363475068;0,000328522505316387;0,00485531171101185;0,260186516066613;0,000328690149266275
"you";-0,977082297844231;0,133829160826967;-0,583443807384104;-0,852702758223408;0,116793124611569;-0,509173224120887;0,808142947236224;0,0110621531642703;0,180794899599506;0,0107539346226671;0,000201746779701635;0,00383445081175798;0,0112643231695475;0,209252819210294;0,000493228016343454
"all";-0,292539162359213;-1,33476889675419;-0,238073046927652;-0,210909727210849;-0,962318144461888;-0,171641707656601;0,0602210353304712;0,914754611579201;0,0250243530903272;0,000498616206140006;0,010380314669309;0,00033023174795154;0,00582637405321422;0,229506067204458;0,000306892803750188
"chinese";0,186925881951806;-0,00815983828565027;0,285402674926272;0,547742300278969;-0,0239104855133909;0,836305363588933;0,405838061287397;0,000564272989990718;0,593597665722612;0,00156078765371837;2,97418547194245e-06;0,00363848863403891;0,044668867741309;0,0564907469714554;0,000142547491450843
"to";0,0393472801112428;-0,35857793435639;-0,425724952710494;0,0705143770468833;-0,642608576562686;-0,762942946725224;0,00740484596926975;0,448710237237976;0,543884916792754;6,16396839563572e-05;0,00511915278238406;0,00721587798579769;0,0398135560302971;0,0880320811084234;0,000308541017163995
"what";-0,977082297844231;0,133829160826967;-0,583443807384104;-0,852702758223408;0,116793124611569;-0,509173224120887;0,808142947236224;0,0110621531642703;0,180794899599506;0,00537696731133352;0,000100873389850817;0,00191722540587899;0,00563216158477374;0,209252819210294;0,000246614008171727
"sub";-0,977082297844231;0,133829160826967;-0,583443807384104;-0,852702758223408;0,116793124611569;-0,509173224120887;0,808142947236224;0,0110621531642703;0,180794899599506;0,00241036465680468;4,5219105795194e-05;0,000859445871600927;0,00252476208972616;0,209252819210294;0,000110551107111464
"biden";-1,01392176587481;0,434239244337857;1,10340314111235;-0,649883150531464;0,278329924154655;0,707237120049112;0,5327966093352;0,071305488807568;0,395897901857232;0,0101825412144201;0,00186769271460065;0,0120591227583311;0,00990483589046417;0,26742868345227;0,000708375050958194
"a";-0,455799418364214;0,537127748225386;-0,138527516157665;-0,634864190671673;0,748143063429546;-0,192949257695012;0,482809068985181;0,489209998207267;0,0279809328075519;0,00718198748126737;0,00997360784397629;0,000663390434344645;0,0345698193824043;0,126290395518413;0,000551363175769103
"hunter";-1,14788346780417;1,52663954801382;7,23739204473583;-0,153353898552025;0,203954611193651;0,966894564247696;0,0367207395110693;0,0473915698438497;0,91588769064508;0,00281491571416575;0,00497900784718551;0,111901005962568;0,00213633715284521;1,15325768687495;0,00284133544682421
"base";-0,977082297844231;0,133829160826967;-0,583443807384104;-0,852702758223408;0,116793124611569;-0,509173224120887;0,808142947236224;0,0110621531642703;0,180794899599506;0,00426449131588521;8,00030333299586e-05;0,00152055808052472;0,0044668867741309;0,209252819210294;0,000195590420274128
"also";-0,977082297844231;0,133829160826967;-0,583443807384104;-0,852702758223408;0,116793124611569;-0,509173224120887;0,808142947236224;0,0110621531642704;0,180794899599506;0,00185412665908053;3,47839275347647e-05;0,00066111220892379;0,00194212468440474;0,209252819210294;8,50393131626644e-05
"nothing";-0,977082297844231;0,133829160826967;-0,583443807384104;-0,852702758223408;0,116793124611569;-0,509173224120887;0,808142947236224;0,0110621531642704;0,180794899599506;0,00185412665908053;3,47839275347647e-05;0,00066111220892379;0,00194212468440474;0,209252819210294;8,50393131626644e-05
"his";0,772421437635073;1,64711688818785;1,74435994547239;0,306467692167878;0,653513855077844;0,692096232382889;0,133020486943654;0,44133766934341;0,425641843712937;0,00405558762985786;0,0184414044508403;0,0206831824971635;0,00679743639541659;0,407736244305455;0,00113006594915734
"are";-0,977082297844231;0,133829160826968;-0,583443807384104;-0,852702758223408;0,116793124611569;-0,509173224120887;0,808142947236224;0,0110621531642704;0,180794899599506;0,00630403064087379;0,0001182653536182;0,00224778151034089;0,00660322392697611;0,209252819210294;0,000289133664753059
"person";-0,977082297844231;0,133829160826967;-0,583443807384104;-0,852702758223408;0,116793124611569;-0,509173224120887;0,808142947236224;0,0110621531642703;0,180794899599506;0,00296660265452884;5,56542840556234e-05;0,00105777953427806;0,00310739949504758;0,209252819210294;0,000136062901060263
"back";2,17848988272252;2,01603697075574;-0,811246958551211;0,707975963885689;0,655181246844367;-0,263642880320313;0,584149746474508;0,365024775819659;0,0508254777058321;0,00921697061395294;0,00789358140892207;0,00127815425861058;0,00194212468440474;0,548754023325204;0,000584833905837247
