"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"mass";"chi.distance";"inertie"
"classe 1";0,220898015335324;-0,0382420405955105;0,0201677341647665;0,981380123074742;-0,169897309621731;0,0895988739722833;0,992342393654455;0,00694980272442406;0,00070780362112156;0,0464428979778918;0,00139193129667681;0,000387123824627354;0,951778046900804;0,0120666352099812;0,000138582391207597
"classe 2";-6,31786962284704;-5,23513298563625;9,68887685043207;-0,497614413996862;-0,412334819861175;0,763125082350602;0,734381191143387;0,117827891564282;0,147790917292331;0,246093436969331;0,168971768482728;0,578769430681378;0,00616536386656391;0,401176078749169;0,000992267509081946
"classe 3";-4,66981044374718;-3,47579770867571;-5,02633251870876;-0,607174282880761;-0,451927333373797;-0,653529705183997;0,813940744317589;0,105369692660458;0,080689563021952;0,362531825020374;0,200842962287453;0,420000749409117;0,0166244632830563;0,28166183210754;0,00131887499037682
"classe 4";-3,68277604627112;4,97236078854479;0,182030497170722;-0,594922777763504;0,803244795555404;0,0294055591906348;0,701170335566205;0,298683082019083;0,000146582414711393;0,344931840032403;0,628793337933143;0,000842696084878443;0,0254321259495761;0,239325340204457;0,00145666617474173
