"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"mass";"chi.distance";"inertie"
"nom";-1,11542130084645;1,12168786185228;0,124635254352128;-0,702944800188295;0,706894022308022;0,0785458408410248;0,808161473071572;0,190975105683797;0,000863421244629475;0,302582822255399;0,30599226067089;0,00377788044698556;0,24320158537928;0,0675172903706526;0,001108654977241
"ver";-0,325580402400688;-0,0555908344854874;2,80452313231412;-0,115294364065556;-0,0196857976174807;0,993136284196123;0,135942358351692;0,000926098367823826;0,863131543280485;0,00731736532136694;0,000213326404382156;0,542945552108609;0,0690300561488495;0,0480513947301394;0,0001593860186905
"sw";0,774938714513332;-0,0607170801442055;-0,433552304005266;0,870671395457768;-0,0682178137537959;-0,487111538580515;0,972556313488485;0,00139512859944846;0,0260485579120668;0,301818727442854;0,0018528199762139;0,0944701194987639;0,50258725090829;0,0427597464678351;0,000918928477996313
"num";-3,82346987436785;-1,31889250574809;-4,09640273361731;-0,664184187919376;-0,229108003114076;-0,711596014201148;0,888078200536298;0,0246926163433043;0,0872291831203981;0,280049808120064;0,033322588886823;0,321458733011319;0,0191566662996807;0,220778719486014;0,000933758040091582
"nr";-0,451133738338419;-1,88794879479452;0,51008692568598;-0,224779804604706;-0,940680612273911;0,254153546372759;0,192239869366887;0,786730004441652;0,0210301261914608;0,0291961587335636;0,511323230127846;0,0373253153471071;0,143454805680942;0,0559897744838934;0,00044970999287952
"adj";1,87131879666654;2,55465859934844;-0,0315034222447989;0,590903613995075;0,806680829352877;-0,00994778981049359;0,696612311511533;0,303370794519166;1,68939693002478e-05;0,0790351181267518;0,147295773933845;2,23995872170526e-05;0,0225696355829572;0,122004921370927;0,000335953558509176
