"";"X.phase_Après";"X.phase_Début";"X.phase_Fin";"X.phase_Pic"
"off";0,3169;-0,0418;-0,107;-0,1641
"i";0,1873;-0,1232;-0,3159;0,5222
"not";-1,7911;-0,0886;-0,2271;2,9913
"0001f923";-0,2536;-0,0467;0,6183;-0,1834
"know";0,3729;-0,0491;-0,126;-0,1931
"like";0,7474;-0,0985;-0,2524;-0,387
"because";0,2049;-0,027;-0,0692;-0,1061
"weather";-0,3953;-0,0295;0,7969;-0,1158
"but";0,4103;-0,0541;-0,1386;-0,2125
"he";0,2939;-0,096;-0,2461;0,2362
"u";3,3644;-0,4165;-1,5409;-1,9492
"out";-0,3236;1,0897;-0,0944;-0,1448
