"";"*phase_Après";"*phase_Début";"*phase_Fin";"*phase_Pic"
"nom";2072;17;43;77
"ver";595;6;9;17
"sw";4385;19;64;97
"num";158;2;7;7
"nr";1236;12;27;28
"adj";199;0;1;5
