"";"banalfreq";"X.phase_Après";"X.phase_Début";"X.phase_Fin";"X.phase_Pic"
"capture";14;0,2609;-0,0344;-0,0881;-0,1351
"balloon";226;-0,8167;0,4366;-0,2289;0,9133
"cross";15;-0,3236;-0,0368;-0,0944;0,5475
"unite";12;-0,3953;-0,0295;0,7969;-0,1158
"when";28;0,5225;-0,0689;-0,1765;-0,2706
"off";17;0,3169;-0,0418;-0,107;-0,1641
"i";50;0,1873;-0,1232;-0,3159;0,5222
"0001f923";19;-0,2536;-0,0467;0,6183;-0,1834
"know";20;0,3729;-0,0491;-0,126;-0,1931
"like";40;0,7474;-0,0985;-0,2524;-0,387
"because";11;0,2049;-0,027;-0,0692;-0,1061
"weather";12;-0,3953;-0,0295;0,7969;-0,1158
"but";22;0,4103;-0,0541;-0,1386;-0,2125
"he";39;0,2939;-0,096;-0,2461;0,2362
"out";15;-0,3236;1,0897;-0,0944;-0,1448
