"";"X.phase_Après";"X.phase_Début";"X.phase_Fin";"X.phase_Pic"
"nom";239,68;303,57;284,77;333,33
"ver";68,83;107,14;59,6;73,59
"sw";507,23;339,29;423,84;419,91
"num";18,28;35,71;46,36;30,3
"nr";142,97;214,29;178,81;121,21
"adj";23,02;0;6,62;21,65
