"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5"
"chinese";1,374;4,937;24,773;0,583;-124,2
"balloon";1,936;1,759;28,119;0,507;-111,417
"spy";-7,007;14,848;1,749;1,499;-31,902
"biden";-4,322;53,852;-13,524;0,058;-9,431
"military";1,728;8,651;-13,263;4,664;-6,81
"trump";0,795;-1,951;-5,807;-3,807;39,219
"fly";3,739;0,96;0,184;-1,22;-5,277
"allow";-1,321;26,865;-11,168;0,597;-4,649
"russian";-2,907;-9,326;-9,699;107,463;-4,038
"down";-0,036;13,186;-0,266;-5,142;-1,712
"country";-0,969;24,107;-6,869;-0,354;-1,884
"border";11,142;-0,005;-9,699;8,216;-4,038
"base";0,297;0,005;-6,412;17,756;-3,837
"joe";-0,278;11,929;-3,781;-0,266;-0,765
"state";-0,013;14,883;-5,96;-0,161;-1,544
"know";-0,546;0,286;-0,396;-0,674;2,849
"russia";19,378;-0,71;-4,205;1,907;-2,861
"0001f923";-1,125;-1,307;16,539;-2,095;-1,563
"war";17,894;-2,781;-5,515;7,093;-2,296
"shoot";0,306;11,652;-1,186;-3,076;-2,296
"man";-1,923;1,164;-6,417;18,51;-2,671
"remember";-1,923;2,797;0,168;-0,266;-0,765
"person";-1,387;-0,539;-0,62;-2,581;22,753
"china";0,026;9,12;-3,324;-0,187;-1,384
"time";-1,923;-0,494;7,647;0,03;-2,671
"cross";8,47;-0,012;-6,417;5,007;-2,671
"thing";-1,787;0,003;5,87;-1,239;-0,626
"right";-0,006;5,34;-1,778;-0,482;-0,16
"let";-0,033;7,31;-2,159;-0,656;-0,258
"year";6,691;5,808;-2,552;-2,828;-2,11
"sub";-0,134;-5,302;-2,954;40,249;-2,296
"coast";-1,387;-4,449;-4,627;51,269;-1,926
"america";2,168;11,652;-5,515;-1,036;-2,296
"air";-0,868;-2,785;11,448;-0,079;-1,206
"weather";-1,387;-4,449;21,774;-0,656;-1,926
"unite";-1,519;13,909;-2,552;-0,023;-2,11
"ukraine";-0,006;0,76;-1,778;3,268;-1,744
"nuclear";-1,387;-4,449;-4,627;51,269;-1,926
"need";-1,387;1,765;-0,62;-2,581;4,541
