"";"";"";"";"don_t";""
"1";"don_t";"-0.0706663130789768";"-0.297054506619879";"0.853332145005682";"139"
"2";"those";"0.0380762062052107";"-0.387078332908651";"0.82642097992469";"165"
"3";"look";"-0.304771823027277";"-0.354487744941518";"0.813627147345202";"178"
"4";"by";"0.0636502743726781";"-0.360880707943073";"0.812548740001337";"183"
"5";"what";"-0.379007073257452";"-0.236105382392245";"0.811568369688732";"186"
"6";"just";"-0.397776802322169";"-0.179678246008499";"0.8";"194"
