"attached_post_url","author/id","author/name","author/url","comments_count","create_date","image","message","post_id","reactions_count","timestamp","type","url","video"
,"100064746458701","MANILA BULLETIN","https://www.facebook.com/manilabulletin","0","2024-02-10T10:15:00",,"A record eight Chinese balloons have been detected around Taiwan, with two directly flying over the island, Taipei's defence ministry said Saturday.","801706851997523","2","1707560100","post","https://www.facebook.com/manilabulletin/posts/pfbid06YtTP7xRg7f4g2x732rWv9fBmhmvEk4FAtrdFoipvZ5xrN4mMNPpCcaS4x9Fw2yNl",
,"100064746458701","MANILA BULLETIN","https://www.facebook.com/manilabulletin","0","2024-02-10T10:15:00",,"A record eight Chinese balloons have been detected around Taiwan, with two directly flying over the island, Taipei's defence ministry said Saturday.","801706851997523","2","1707560100","post","https://www.facebook.com/manilabulletin/posts/pfbid06YtTP7xRg7f4g2x732rWv9fBmhmvEk4FAtrdFoipvZ5xrN4mMNPpCcaS4x9Fw2yNl",
,"100059422245844","Reuters","https://www.facebook.com/Reuters","0","2024-01-06T05:01:16",,"Taiwan's defence ministry accused China on Saturday of threatening aviation safety and waging psychological warfare on the island's people with a recent spate of balloons spotted near or over the island, days before key Taiwanese elections.","867988751858525","102","1704517276","post","https://www.facebook.com/Reuters/posts/pfbid02VkxCn1etpvgzkjznRAjLQxgJ8Yq8TLCVxHNU3Nc7AREqQM8XcZQNFt1bJfwXH84l",
,"100059337559482","AP","https://www.facebook.com/APNews","0","2024-01-22T14:00:04",,"Taiwan says six Chinese balloons either flew over the island or through airspace just north of it, while Chinese warplanes and navy ships were also detected in the area.","771403938180851","48","1705932004","post","https://www.facebook.com/APNews/posts/pfbid02bLi5ZTKDB3yb3cxzvn6kYVp2zCq2LicPMNvgTNHmqUnPfjQxkfjiRtxuukgCe8QSl",
,"100064544237612","The Globe and Mail","https://www.facebook.com/theglobeandmail","0","2024-01-06T03:34:36",,"Chinese balloons sailing over Taiwan constitute ‘psychological warfare’ in leadup to elections","780835360744598","3","1704512076","post","https://www.facebook.com/theglobeandmail/posts/pfbid0gbJD79oufpiYzPfkKTNh7peBvpT432pCiKdp2k7uGGxgay4CsrLr7Z9Lfi3zrfnQl",
,"100064422954233","WPDE ABC15","https://www.facebook.com/WPDEABC15","0","2023-02-05T00:30:03",,"Take a look! Another view of the Chinese balloon being shot down over Myrtle Beach. (Credit: Mason Brunner) 

https://bit.ly/3DI1xVf","10160714770568970","761","1675557003","post","https://www.facebook.com/WPDEABC15/posts/pfbid02XRSdwhiDEmB6hxNXNJ5fWamzq2kqqSMbFCKs9Jqv7CcGLYYfxZXFRSNFz3H1GQiol","https://www.facebook.com/WPDEABC15/videos/1423313988455452/"
,"100059283082154","Bloomberg","https://www.facebook.com/bloombergbusiness","0","2023-02-06T03:48:47",,"Chinese surveillance balloons flew over the continental United States at least three times during the Trump years but their incursions weren’t discovered until after Biden took office","617301743589256","32","1675655327","post","https://www.facebook.com/bloombergbusiness/posts/pfbid0YDK4C3biapFNgVuiitjUSeLpet6fs3fV3LFU2gGRWFFiNW7Bet4HSEeJWXJaXgogl",
,"100064957951102","ABS-CBN News","https://www.facebook.com/abscbnNEWS","0","2024-02-10T09:50:00",,"A record eight Chinese balloons have been detected around Taiwan, with two directly flying over the island, Taipei's defence ministry said Saturday.","811357177706207","28","1707558600","post","https://www.facebook.com/abscbnNEWS/posts/pfbid02qybi6nsPPjgvhhVYYMZ67tRSs3Ta6ZGR3yGwyMAcTTsAaNCJvFG1DYMt7b5zup2fl",
,"100064822867502","Philstar.com","https://www.facebook.com/philstarnews","0","2024-02-10T22:30:01",,"A record eight Chinese balloons have been detected around Taiwan, with two directly flying over the island, Taipei's defense ministry said Saturday.","787150450122377","3","1707604201","post","https://www.facebook.com/philstarnews/posts/pfbid0vndcdq7iospNdahajFeBvd8s9iB2QArAo3X6Qt1kRup6y9xSVmvfMgsi6yvbnAxLl",
,"100064822867502","Philstar.com","https://www.facebook.com/philstarnews","0","2024-02-11T15:00:00",,"Eight Chinese balloons were detected around Taiwan for the second straight day, with five flying directly over the island, Taipei's defense ministry said Sunday.","787930600044362","5","1707663600","post","https://www.facebook.com/philstarnews/posts/pfbid033fU2bz9bczFNkoe8QEVE5NQUZTURfMiDrdpi8KdLFESCbktqVTq4t2DUjp5AWH8Pl",
,"100064957951102","ABS-CBN News","https://www.facebook.com/abscbnNEWS","0","2024-02-11T03:25:01",,"Eight Chinese balloons were detected around Taiwan for the second straight day, with five flying directly over the island, Taipei's defense ministry said.","811884540986804","24","1707621901","post","https://www.facebook.com/abscbnNEWS/posts/pfbid02CmcBt5JkotiW9PLQdn3gyievQRE8HEAUvmSnbQyK1kuLGGvFTFS3cU5eTEhNyZMbl",
,"100059455603099","CBS News","https://www.facebook.com/CBSNews","0","2023-02-09T02:00:04",,"The Chinese spy balloon that transited across the U.S. before it was shot down is part of a ""larger Chinese surveillance balloon program"" that has operated for several years and over multiple continents, according to the Pentagon.","596388645686317","43","1675908004","post","https://www.facebook.com/CBSNews/posts/pfbid031NLexw8KwMXDSPz7KhHtE8DfqpXZWE8zH3YBAX6VFrVwpfLPKF1FgrkCiMuvsBWJl",
,"100059422245844","Reuters","https://www.facebook.com/Reuters","0","2024-01-04T07:40:13",,"Taiwan's defence ministry said it had detected three more Chinese balloons flying across the Taiwan Strait on Wednesday, and one of those flew over the island, the second day in a row it has reported such activity.","866680028656064","66","1704354013","post","https://www.facebook.com/Reuters/posts/pfbid0233knThcMdrrKFXQENwGBEBYtFcTpht5YMAeLogNm1k3CodDT7uej1MoLhvMMAmV6l",
,"100059422245844","Reuters","https://www.facebook.com/Reuters","0","2024-01-04T07:40:13",,"Taiwan's defence ministry said it had detected three more Chinese balloons flying across the Taiwan Strait on Wednesday, and one of those flew over the island, the second day in a row it has reported such activity.","866680028656064","66","1704354013","post","https://www.facebook.com/Reuters/posts/pfbid0233knThcMdrrKFXQENwGBEBYtFcTpht5YMAeLogNm1k3CodDT7uej1MoLhvMMAmV6l",
,"100064822867502","Philstar.com","https://www.facebook.com/philstarnews","0","2024-02-11T15:00:00",,"Eight Chinese balloons were detected around Taiwan for the second straight day, with five flying directly over the island, Taipei's defense ministry said Sunday.","787930600044362","5","1707663600","post","https://www.facebook.com/philstarnews/posts/pfbid033fU2bz9bczFNkoe8QEVE5NQUZTURfMiDrdpi8KdLFESCbktqVTq4t2DUjp5AWH8Pl",
