"avatar","fullname","id","images/0","images/1","images/2","images/3","isQuote","isReply","isRetweet","likes","links/0","links/1","links/2","links/3","links/4","links/5","links/6","links/7","links/8","links/9","links/10","links/11","quotedTweet/avatar","quotedTweet/fullname","quotedTweet/images/0","quotedTweet/images/1","quotedTweet/images/2","quotedTweet/images/3","quotedTweet/links/0","quotedTweet/links/1","quotedTweet/text","quotedTweet/timestamp","quotedTweet/url","quotedTweet/username","quotes","replies","replyingTo/0","replyingTo/1","replyingTo/2","replyingTo/3","replyingTo/4","replyingTo/5","replyingTo/6","replyingTo/7","replyingTo/8","replyingTo/9","replyingTo/10","replyingTo/11","replyingTo/12","replyingTo/13","retweets","searchQuery","text","timestamp","url","user/avatar","user/description","user/joinDate","user/location","user/totalFollowers","user/totalFollowing","user/totalLikes","user/totalTweets","user/url","user/userFullName","user/username","user/verified","user/website","username","verified"
,,"1800901544424137030",,,,,"false","true","false","0",,,,,,,,,,,,,,,,,,,,,,,,,"0","0","/Pumbaaaaaaaaaa7","/TomDwan",,,,,,,,,,,,,"0","chinese balloons","🤡🤡🤡","2024-06-12T14:42:00.000Z","https://twitter.com/SpyBalloonCN/status/1800901544424137030","https://pbs.twimg.com/profile_images/1621724800287907840/HjXymHTR.jpg",,"2023-02-04T04:14:00.000Z","Washington DC","44","17","48","245","https://twitter.com//SpyBalloonCN","Chinese Spy Balloon","@SpyBalloonCN","false",,,"false"
,,"1800901328027496921",,,,,"false","true","false","0",,,,,,,,,,,,,,,,,,,,,,,,,"0","1","/NokkensX","/saxonyspinner","/rmittman9","/CaptCoronado",,,,,,,,,,,"0","chinese balloons","You really think that? America hasn’t won a war since WWII when Russia did 85% of the work. And they couldn’t even  track the Chinese balloons that floated over 2/3 of the country","2024-06-12T14:41:00.000Z","https://twitter.com/John5034071941/status/1800901328027496921","https://pbs.twimg.com/profile_images/1771386335473156096/kZVMWPEF.jpg",,"2024-03-23T03:58:00.000Z",,"2","5","1019","927","https://twitter.com//John5034071941","John","@John5034071941","false",,,"false"
,,"1800900208412569673","https://pbs.twimg.com/media/GP4VLP3XEAAnkgY.jpg",,,,"false","true","false","3",,,,,,,,,,,,,,,,,,,,,,,,,"0","0","/MTGrepp",,,,,,,,,,,,,,"0","chinese balloons","Placing Americans at risk are the actions of a Chinese spy, like the balloon 🎈 😄 🤣 floating all sorts of ideas.","2024-06-12T14:37:00.000Z","https://twitter.com/AscherMaxwell/status/1800900208412569673","https://pbs.twimg.com/profile_images/998990473145466880/jHPsmKX4.jpg","Ask if you are serious about an answer. Some post are of graphic content. warning. Not all posted reflects my opinion, Share the Truth and be informed.","2012-11-18T15:16:00.000Z","United States","1491","4311","21218","71525","https://twitter.com//AscherMaxwell","Max","@AscherMaxwell","false",,,"false"
"https://pbs.twimg.com/profile_images/998990473145466880/jHPsmKX4.jpg","Max","1800888137553678804","https://pbs.twimg.com/media/GP4KNamXAAApFAP.jpg",,,,"false","true","false","0",,,,,,,,,,,,,,,,,,,,,,,,,"0","0","/MTGrepp",,,,,,,,,,,,,,"0","chinese balloons","He's the Chinese balloon America ignores....","2024-06-12T13:49:00.000Z","https://twitter.com/AscherMaxwell/status/1800888137553678804","https://pbs.twimg.com/profile_images/998990473145466880/jHPsmKX4.jpg","Ask if you are serious about an answer. Some post are of graphic content. warning. Not all posted reflects my opinion, Share the Truth and be informed.","2012-11-18T15:16:00.000Z","United States","1491","4311","21218","71525","https://twitter.com//AscherMaxwell","Max","@AscherMaxwell","false",,"@AscherMaxwell","false"
,,"1800898652510282050",,,,,"false","false","false","0",,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,,,,,,,,,,,,,"0","chinese balloons","But our government says that this is a nothing burger. Well, that ranks right up there with the Chinese Balloons that crossed over our military bases transmitting sensitive military information back to the CCP, then as soon as it when over the Atlantic Ocean Biden had it shot down. Look at all the different stories we got from our company about that.

I no longer trust Joe Biden and his administration to tell us the truth and I don't trust them to protect us. They're the type of government that will show up to the party late and say better late than never.

It's a real shame that they're more interested in letting in illegal immigrants, protection illegal immigrants and giving illegal immigrants free housing, free medical, free food, free money and free schooling.","2024-06-12T14:31:00.000Z","https://twitter.com/Vsurryhne/status/1800898652510282050","https://pbs.twimg.com/profile_images/3166255516/7785bc3ca0f251a9131aa03a6a6d4d95.jpeg","Married for 18 years, before I lost the love of my life to cancer, love football, drag racing, fishing, camping, boating and seeing other parts of the Country.","2012-01-17T02:02:00.000Z",,"333","29","29754","40080","https://twitter.com//Vsurryhne","Valarie Surryhne","@Vsurryhne","true",,,"true"
,,"1800893965975331095",,,,,"false","true","false","0",,,,,,,,,,,,,,,,,,,,,,,,,"0","0","/eyeajg3","/AlexLuck9",,,,,,,,,,,,,"0","chinese balloons","We took out a Chinese balloon, now let’s try a sub!","2024-06-12T14:12:00.000Z","https://twitter.com/eyeajg3/status/1800893965975331095","https://pbs.twimg.com/profile_images/1527865457310670855/4KwHmgDV.jpg",,"2022-04-05T18:43:00.000Z",,"243","111","32899","4038","https://twitter.com//eyeajg3","Philip Krug","@eyeajg3","false",,,"false"
,,"1800897773304492388",,,,,"false","true","false","1",,,,,,,,,,,,,,,,,,,,,,,,,"0","1","/Tweetytweeter63","/AP",,,,,,,,,,,,,"0","chinese balloons","Lmfao! There were Chinese balloons flying in our airspace through the trump administration too.  What did Trump do about it?","2024-06-12T14:27:00.000Z","https://twitter.com/AnnaDia57589581/status/1800897773304492388","https://pbs.twimg.com/profile_images/1642076835466067975/65jLI9zY.jpg",,"2022-02-15T13:48:00.000Z",,"397","1122","90337","31833","https://twitter.com//AnnaDia57589581","Anna Diaz 💙🇺🇸","@AnnaDia57589581","false",,,"false"
,,"1800892010691211687",,,,,"false","true","false","0",,,,,,,,,,,,,,,,,,,,,,,,,"0","2","/AnnaDia57589581","/AP",,,,,,,,,,,,,"0","chinese balloons","So what will Biden do about it?  

He let a Chinese spy balloon traverse the entire U.S., said “Don’t “ to deter his buddies in Iran, built a pier for Hamas that only lasted 2 weeks and is building them another one…

Will he sanction more Russian oligarchs, once again excluding those that sent his son millions?","2024-06-12T14:04:00.000Z","https://twitter.com/Tweetytweeter63/status/1800892010691211687","https://pbs.twimg.com/profile_images/1770393486518296576/f1LMsvDc.jpg","Grandma to 3 small humans and 2 dogs.🇺🇸DeSantis 2024🇺🇸.","2020-02-03T01:16:00.000Z",,"1182","1219","176284","62185","https://twitter.com//Tweetytweeter63","Kelkat","@Tweetytweeter63","true",,,"true"
,,"1800675602619593100","https://pbs.twimg.com/media/GP1ItwnWwAAXhon.jpg",,,,"true","false","true","23",,,,,,,,,,,,,"","General Spalding",,,,,"https://apple.news/ABJFoTN1xSkultZsDNsW7lA",,"This is what happens when you tell the Chinese people all Americans are spies.  apple.news/ABJFoTN1xSkultZsD…","2024-06-11T13:38:00.000Z","https://twitter.com/robert_spalding/status/1800522897561354501","@robert_spalding","1","2",,,,,,,,,,,,,,,"16","chinese balloons","It is Americans who are told everyday that all Chinese people are spies. From the so-called Chinese spy balloon to spy cranes, you name it, communist garlic, spy EVs, Tiktok and spy coffee machines. But now 🇺🇲 wants to flip the narratives because it serves its anti-🇨🇳 interests.","2024-06-11T23:44:00.000Z","https://twitter.com/Somali_ICS/status/1800675602619593100","https://pbs.twimg.com/profile_images/1610416696556150784/_7LY5G5B.jpg","Somalia's only Research Institute & Think Tank covering China's impact on Somalia & Africa. Reports & expert commentary on China’s geopolitics/economy/society.","2022-07-15T19:02:00.000Z","Somalia","7601","1192","11525","5848","https://twitter.com//Somali_ICS","Somali Institute of Chinese Studies","@Somali_ICS","false",,,"true"
,,"1800887455652233315","https://pbs.twimg.com/media/GP4JmOHXsAAgqzO.jpg","https://pbs.twimg.com/media/GP4JmPOXsAAlMg_.jpg",,,"false","true","true","1",,,,,,,,,,,,,,,,,,,,,,,,,"0","0","/harryjsisson",,,,,,,,,,,,,,"1","chinese balloons","You're either insane or a paid shill for the Democrat party. Which one is it? Let America know. Because nobody in their right mind is voting for this ESPECIALLY when he's allowed Russian nuclear warships to sail off the The coast of Florida and Chinese spy balloons over the USA👇","2024-06-12T13:46:00.000Z","https://twitter.com/RipzRyan/status/1800887455652233315","https://pbs.twimg.com/profile_images/1599800083339513856/D5uSF9ip.jpg","Political commentary. God, Family and Country. Son of a Vietnam vet. Father. 1A,2A Proud. Here to destroy the leftist narrative. America First. MAGA. #TRUMP2024","2021-04-10T18:56:00.000Z","Florida, USA","6571","3000","51322","32474","https://twitter.com//RipzRyan","RyanRipz The Left 🇺🇸","@RipzRyan","true",,,"true"
