"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12"
"medium";0,614;0,153;0,554;0,153;0,619;0,651;0,554;0,661;0,593;0,577;0,605;0,06
"large";0,614;0,577;0,193;0,577;0,092;0,651;0,554;0,661;0,593;0,153;0,605;0,646
"kill";0,413;0,537;0,401;0,429;0,48;0,521;0,401;0,534;0,448;0,537;0,464;0
"job";0,475;0,429;0,401;0,429;0,48;0,521;0,615;0,534;0,031;0,001;0,464;0,515
"intercept";0,514;0,47;0,444;0,47;0,006;0,558;0,444;0,186;0,489;0,47;0,009;0,553
"hold";0,475;0,429;0,615;0,429;0,48;0;0,401;0,534;0,483;0,429;0,464;0,515
"hate";0,097;0,577;0,554;0,577;0,092;0,651;0,554;0,661;0,128;0,577;0,605;0,646
"handle";0,197;0,519;0,494;0,519;0,565;0,601;0,494;0;0,537;0,281;0,551;0,596
"guess";0,56;0,519;0,494;0,519;0,565;0,601;0,338;0,612;0,537;0,005;0,215;0,596
"gather";0,475;0,429;0,401;0,429;0;0,298;0,615;0,534;0,448;0,429;0,442;0,515
"flight";0,475;0,429;0,401;0,429;0;0,298;0,065;0,534;0,448;0,429;0,464;0,515
"fee";0,56;0,519;0,494;0,005;0,565;0,601;0,494;0,612;0,243;0,281;0,551;0,596
"fast";0,514;0,412;0,444;0,412;0,52;0,558;0,482;0,57;0,489;0,47;0,329;0,221
"fairly";0,514;0,47;0,444;0,412;0,293;0,558;0,444;0,57;0,489;0,412;0,009;0,553
"democrat";0,514;0,412;0,444;0,018;0,52;0,558;0,444;0,57;0,489;0,412;0,504;0,221
"debris";0,475;0,429;0,401;0,429;0,48;0,521;0;0,534;0,448;0,429;0,464;0,008
"deal";0,514;0,47;0,444;0,47;0,52;0,558;0,444;0,57;0,489;0,47;0;0,553
"craft";0,514;0,47;0,444;0,47;0;0,558;0,444;0,57;0,489;0,412;0,504;0,553
"continue";0,514;0,018;0,444;0,47;0,52;0,209;0,444;0,001;0,489;0,47;0,504;0,553
"consider";0,614;0,577;0,554;0,577;0,619;0,651;0,554;0,046;0,128;0,153;0,605;0,646
"communication";0,475;0,537;0,401;0,429;0,017;0,521;0,401;0,005;0,448;0,429;0,442;0,515
"close";0,305;0,412;0,444;0,412;0,52;0,558;0,444;0,57;0,365;0,412;0,504;0,553
"clearance";0,514;0,47;0,444;0,47;0,52;0,558;0,444;0,57;0;0,412;0,504;0,553
"china_s";0,514;0,018;0,444;0,47;0,006;0,558;0,444;0,57;0,489;0,47;0,504;0,221
"child";0,56;0,281;0,494;0,005;0,565;0,601;0,494;0,612;0,243;0,519;0,551;0,596
"capable";0,007;0,47;0,444;0,47;0,52;0,558;0,03;0,57;0,489;0,47;0,504;0,221
"capability";0,475;0,429;0,401;0,429;0,399;0,006;0,401;0,005;0,483;0,429;0,464;0,515
"budget";0,56;0,519;0,494;0,281;0,565;0,601;0,494;0,612;0,537;0,519;0;0,596
"basically";0,514;0,47;0,444;0,47;0,52;0,558;0;0,57;0,489;0,47;0,504;0,553
"asian";0,614;0,577;0,554;0,577;0,092;0;0,554;0,661;0,593;0,577;0,605;0,646
"americans";0,614;0,001;0,554;0,153;0,619;0,651;0,554;0,661;0,593;0,577;0,605;0,646
"actual";0,614;0,577;0,554;0,577;0,619;0,651;0,554;0,661;0,128;0,001;0,605;0,646
"access";0,475;0,043;0,401;0,429;0,48;0,521;0,401;0,534;0;0,429;0,464;0,313
"wonder";0,514;0,47;0,444;0,47;0,52;0,558;0;0,57;0,012;0,47;0,504;0,553
"weapon";0,56;0,519;0,494;0,281;0,565;0,601;0,494;0,612;0,537;0,005;0,215;0,596
"video";0,56;0,519;0,338;0,519;0,565;0,125;0,494;0,612;0,537;0,281;0,215;0,596
"trust";0,614;0,577;0,554;0,153;0,619;0,651;0,554;0,661;0;0,577;0,605;0,646
"true";0,614;0,577;0,554;0,577;0,619;0,651;0,554;0,661;0;0,577;0,109;0,646
"today";0,514;0,412;0,444;0,47;0,52;0,558;0,444;0,001;0,489;0,412;0,504;0,221
"test";0,097;0,577;0,554;0,577;0,619;0,651;0,554;0,661;0,593;0,577;0;0,646
"territory";0,56;0,281;0,494;0,519;0,001;0,601;0,338;0,612;0,537;0,519;0,551;0,596
"taiwanese";0,514;0,47;0;0,47;0,52;0,558;0,444;0,57;0,489;0,47;0,504;0,553
"support";0,56;0,281;0,009;0,519;0,565;0,601;0,494;0,612;0,243;0,519;0,551;0,596
"steal";0,097;0,153;0,554;0,153;0,619;0,651;0,554;0,661;0,593;0,577;0,605;0,646
"statement";0,514;0,47;0,444;0,47;0,293;0,002;0,444;0,001;0,489;0,47;0,504;0,553
"southern";0,514;0;0,444;0,018;0,52;0,558;0,444;0,57;0,489;0,47;0,504;0,553
"sky";0,305;0,412;0,444;0,47;0,52;0,558;0;0,57;0,489;0,47;0,504;0,553
"single";0,197;0,281;0,494;0,519;0,565;0,601;0,494;0,612;0,537;0,519;0,002;0,596
"set";0,56;0,519;0,494;0,005;0,565;0,601;0,494;0,612;0,537;0,519;0,551;0
"row";0,514;0,47;0;0,47;0,52;0,558;0,444;0,57;0,489;0,47;0,504;0,553
"result";0,614;0,577;0,554;0,577;0,092;0,055;0,554;0,661;0,593;0,577;0,109;0,646
"racism";0,002;0,519;0,494;0,519;0,565;0,125;0,494;0,612;0,243;0,519;0,551;0,596
"putin";0,514;0,47;0,444;0,47;0,52;0,558;0,444;0,57;0,489;0,412;0,504;0
"put";0,56;0,281;0,494;0,005;0,565;0,601;0,494;0,109;0,537;0,519;0,551;0,596
"publicly";0,56;0,281;0,494;0,519;0,187;0,601;0,494;0,109;0,537;0,519;0,215;0,596
"protect";0,514;0,47;0,444;0,412;0,52;0,558;0,444;0,57;0,489;0,412;0,329;0,002
"power";0,614;0,577;0,554;0,577;0,092;0,651;0,554;0,661;0,128;0,577;0,109;0,646
"part";0,56;0,519;0,494;0,519;0,001;0,601;0,338;0,109;0,537;0,519;0,551;0,596
"order";0,614;0,577;0,554;0,577;0,619;0;0,554;0,661;0,128;0,577;0,605;0,646
"obvious";0,56;0,005;0,494;0,519;0,565;0,601;0,494;0,612;0,243;0,519;0,215;0,596
"nature";0,56;0,281;0,494;0,519;0,565;0,601;0,494;0;0,537;0,519;0,551;0,134
"nato";0,614;0,153;0,554;0,577;0,619;0,651;0,554;0,661;0,593;0,577;0,605;0
"mistake";0,305;0,47;0,444;0,47;0,293;0,558;0,444;0;0,489;0,47;0,504;0,553
"mind";0,56;0,519;0,494;0,519;0,565;0,601;0,494;0,612;0,537;0,519;0,551;0
"location";0,514;0,47;0,444;0,47;0,52;0,558;0,444;0,57;0,489;0,412;0;0,553
"image";0,514;0,47;0,444;0,412;0,52;0;0,444;0,57;0,489;0,47;0,504;0,553
"history";0,56;0,005;0,494;0,519;0,565;0,601;0,494;0,612;0,003;0,519;0,551;0,596
"half";0,514;0,47;0;0,47;0,52;0,558;0,444;0,57;0,489;0,412;0,504;0,553
"govt";0,614;0,153;0,554;0,153;0,619;0,651;0,193;0,661;0,593;0,577;0,605;0,646
"foot";0,614;0,577;0,554;0,153;0,619;0,651;0,001;0,661;0,593;0,577;0,605;0,646
"fire";0,514;0,412;0,444;0,47;0,52;0,558;0,444;0,57;0,489;0,47;0,504;0
"february";0,56;0,519;0,338;0,519;0,001;0,601;0,338;0,612;0,537;0,519;0,551;0,596
"family";0,514;0;0,444;0,412;0,52;0,558;0,444;0,57;0,489;0,47;0,504;0,221
"east";0,56;0,005;0,494;0,519;0,187;0,601;0,494;0,109;0,537;0,519;0,551;0,596
"dumb";0;0,577;0,554;0,577;0,619;0,651;0,554;0,661;0,128;0,577;0,605;0,646
"due";0,56;0,519;0,494;0,519;0,565;0,601;0,494;0;0,537;0,519;0,551;0,596
"department";0,305;0,412;0,444;0,47;0,52;0;0,444;0,57;0,489;0,47;0,504;0,553
"deny";0,514;0,47;0,444;0;0,293;0,558;0,444;0,57;0,489;0,47;0,504;0,553
"current";0,197;0,519;0,494;0,281;0,565;0,601;0,494;0,612;0,537;0,005;0,551;0,596
"control";0,514;0,412;0,444;0,47;0,293;0,558;0,444;0,001;0,489;0,47;0,329;0,553
"contact";0,614;0,577;0,554;0,577;0,092;0,651;0,554;0,661;0,128;0,153;0,605;0,646
"confuse";0,514;0,47;0,444;0,47;0,52;0,209;0,444;0,57;0,489;0;0,504;0,553
"civilian";0,56;0,519;0,494;0,519;0,001;0,601;0,494;0;0,537;0,519;0,551;0,596
"buy";0,002;0,281;0,494;0,519;0,565;0,601;0,494;0,612;0,243;0,519;0,551;0,596
"aviation";0,514;0,47;0;0,47;0,52;0,558;0,444;0,57;0,489;0,47;0,504;0,553
"atlantic";0,56;0,519;0,494;0,519;0,001;0,125;0,494;0,612;0,537;0,281;0,551;0,596
"assessment";0,56;0,519;0,494;0,519;0,565;0,125;0,338;0,612;0,243;0,281;0,551;0,596
"arrest";0,614;0,577;0,554;0,153;0,619;0,055;0,554;0,661;0,593;0,577;0,605;0,06
"america_s";0,514;0,018;0,444;0,47;0,52;0,558;0,482;0,57;0,489;0,412;0,329;0,553
"ago";0,514;0,47;0,482;0,47;0,52;0,558;0,444;0,57;0,489;0;0,504;0,553
"additional";0,56;0,519;0,494;0;0,565;0,601;0,494;0,612;0,243;0,519;0,551;0,596
"account";0,614;0,153;0,554;0,577;0,619;0,651;0,554;0,661;0;0,577;0,605;0,646
"0001f388";0,002;0,519;0,494;0,519;0,565;0,601;0,494;0,612;0,537;0,281;0,551;0,134
"xi";0,614;0,577;0,554;0,577;0,092;0,651;0,554;0,661;0,593;0,577;0,605;0
"wrong";0,614;0,577;0,554;0,577;0,619;0,651;0,554;0,661;0,128;0,001;0,605;0,646
"wednesday";0,614;0,577;0,001;0,577;0,619;0,651;0,554;0,661;0,593;0,153;0,605;0,646
"warfare";0,56;0,519;0;0,519;0,565;0,601;0,494;0,612;0,537;0,519;0,551;0,596
"ve";0,197;0,281;0,494;0,519;0,565;0,601;0,494;0,612;0,537;0,281;0,215;0,596
"truth";0,614;0,577;0,554;0,001;0,619;0,651;0,554;0,661;0,593;0,153;0,605;0,646
"transit";0,56;0,281;0,494;0,519;0,001;0,601;0,338;0,612;0,537;0,519;0,551;0,596
"traitor";0,197;0,281;0,494;0,005;0,565;0,601;0,494;0,612;0,537;0,519;0,551;0,596
"tension";0,614;0,577;0;0,577;0,619;0,651;0,554;0,661;0,593;0,577;0,605;0,646
"technology";0,097;0,153;0,554;0,577;0,619;0,651;0,554;0,661;0,593;0,153;0,605;0,646
"tech";0,56;0,519;0,494;0,519;0,187;0,125;0,494;0,612;0,537;0,519;0,002;0,596
"stray";0,56;0,519;0,494;0,519;0,565;0,601;0,494;0;0,537;0,519;0,551;0,596
"station";0,002;0,519;0,494;0,519;0,565;0,601;0,494;0,109;0,243;0,519;0,551;0,596
"sort";0,614;0,577;0,554;0,577;0;0,651;0,193;0,661;0,593;0,577;0,605;0,646
"son";0,197;0,281;0,494;0,519;0,565;0,601;0,494;0,612;0,537;0,281;0,551;0,134
"soldier";0,614;0,153;0,554;0,153;0,619;0,651;0,554;0,661;0,593;0,153;0,605;0,646
"similar";0,614;0,577;0,554;0,153;0,092;0,651;0,554;0,661;0,593;0,577;0,605;0,06
"share";0,56;0,519;0,494;0,281;0,565;0,125;0,494;0,612;0,243;0,519;0,551;0,134
"sell";0,614;0,001;0,554;0,577;0,619;0,651;0,554;0,661;0,593;0,577;0,605;0,06
"reveal";0,614;0,577;0,554;0,577;0,619;0,651;0,554;0;0,593;0,577;0,605;0,646
"restrict";0,56;0,519;0,494;0,519;0,187;0,601;0,494;0,612;0,003;0,519;0,215;0,596
"response";0,614;0,577;0,554;0,577;0,092;0,651;0,554;0,661;0,593;0,001;0,605;0,646
"regret";0,56;0,519;0,494;0,519;0,565;0,601;0,494;0;0,537;0,519;0,551;0,596
"refuse";0,614;0,153;0,554;0,001;0,619;0,651;0,554;0,661;0,593;0,577;0,605;0,646
"recover";0,614;0,153;0,554;0,577;0,092;0,651;0,193;0,661;0,593;0,577;0,605;0,646
"psychological";0,56;0,519;0;0,519;0,565;0,601;0,494;0,612;0,537;0,519;0,551;0,596
"path";0,56;0,519;0,494;0,519;0,565;0,601;0;0,612;0,537;0,519;0,551;0,596
"parliamentary";0,56;0,519;0;0,519;0,565;0,601;0,494;0,612;0,537;0,519;0,551;0,596
"onboard";0,56;0,519;0,494;0,519;0,565;0;0,338;0,612;0,537;0,519;0,551;0,596
"occasion";0,614;0,577;0,554;0;0,619;0,651;0,554;0,661;0,593;0,577;0,605;0,646
"numb";0,56;0,519;0,009;0,281;0,565;0,601;0,494;0,612;0,537;0,519;0,215;0,596
"monday";0,56;0,519;0;0,519;0,187;0,601;0,494;0,612;0,537;0,519;0,551;0,596
"member";0,614;0,577;0,554;0,153;0,619;0,651;0,554;0,661;0,593;0,153;0,605;0,06
"lose";0,614;0,577;0,554;0,577;0,619;0,651;0,193;0,661;0;0,577;0,605;0,646
"local";0,56;0,519;0,494;0,281;0,565;0;0,494;0,612;0,537;0,519;0,551;0,596
"limit";0,56;0,519;0,494;0,519;0,565;0,601;0,494;0;0,537;0,519;0,002;0,596
"life";0,002;0,281;0,494;0,281;0,565;0,601;0,494;0,612;0,537;0,519;0,551;0,596
"launder";0,56;0,281;0,494;0,519;0,565;0,601;0,494;0;0,537;0,519;0,551;0,596
"kind";0,614;0,153;0,554;0,577;0,619;0,651;0,193;0,661;0,593;0,577;0,109;0,646
"joebiden";0,56;0,005;0,494;0,519;0,565;0,601;0,494;0,612;0,537;0,519;0,551;0
"intel";0,614;0,577;0,554;0,577;0,092;0,651;0,554;0;0,593;0,577;0,605;0,646
"installation";0,197;0,281;0,494;0,519;0,565;0,601;0,494;0,612;0,537;0,005;0,551;0,596
"incursion";0,56;0,519;0,494;0,005;0,001;0,601;0,494;0,612;0,537;0,519;0,551;0,596
"hurt";0,56;0,519;0,494;0,519;0,565;0,601;0;0,612;0,537;0,281;0,551;0,596
"grind";0,614;0,577;0,554;0,577;0,619;0,055;0,001;0,661;0,593;0,577;0,605;0,646
"gov";0,56;0,519;0,494;0,519;0,565;0,125;0,494;0;0,537;0,519;0,551;0,596
"gonna";0,56;0,519;0,494;0,281;0,565;0,601;0,338;0,109;0,243;0,519;0,551;0,596
"girl";0,614;0,001;0,554;0,153;0,619;0,651;0,554;0,661;0,593;0,577;0,605;0,646
"generally";0,56;0,281;0,494;0,519;0,565;0,601;0,338;0,109;0,243;0,519;0,551;0,596
"gain";0,614;0,577;0,554;0,153;0,619;0,651;0,554;0,661;0,128;0,153;0,605;0,646
"full";0,56;0,281;0,009;0,281;0,565;0,601;0,494;0,612;0,537;0,519;0,551;0,596
"fighter";0,197;0,519;0,494;0,519;0,187;0,601;0,338;0,612;0,537;0,519;0,215;0,596
"false";0,614;0,577;0,554;0,577;0,619;0,651;0,193;0,046;0,128;0,577;0,605;0,646
"fact";0,097;0,577;0,554;0,577;0,092;0,651;0,554;0,661;0,593;0,153;0,605;0,646
"expect";0,614;0,153;0,554;0,153;0,619;0,651;0,193;0,661;0,593;0,577;0,605;0,646
"event";0,56;0,281;0,494;0,519;0,565;0,601;0,494;0,612;0,537;0;0,551;0,596
"end";0,614;0,153;0,554;0,577;0,619;0,651;0,193;0,046;0,593;0,577;0,605;0,646
"edit";0,56;0,519;0,494;0,519;0,565;0,125;0,338;0,109;0,243;0,519;0,551;0,596
"easily";0,56;0,281;0,494;0,519;0,565;0,601;0,338;0,612;0,003;0,519;0,551;0,596
"earth";0,614;0,577;0,554;0,577;0,619;0,651;0,554;0,661;0,593;0,577;0;0,646
"dude";0,614;0,577;0,554;0,577;0,619;0,055;0,193;0,661;0,128;0,577;0,605;0,646
"destroy";0,614;0,153;0,554;0,577;0,619;0,651;0,193;0,661;0,593;0,577;0,109;0,646
"dangerous";0,614;0,577;0,554;0,577;0,619;0,651;0,554;0,661;0,593;0,577;0,605;0
"damn";0,197;0,519;0,494;0,281;0,565;0,601;0,009;0,612;0,537;0,519;0,551;0,596
"create";0,56;0,519;0,494;0,519;0,565;0,601;0,494;0,612;0,537;0,519;0,551;0
"couple";0,56;0,519;0,494;0,519;0,565;0,601;0,494;0,612;0,537;0,519;0;0,596
"cost";0,56;0,519;0,494;0,519;0,565;0,601;0,494;0,612;0,537;0,519;0;0,596
"cool";0,56;0,519;0,494;0,519;0,565;0,601;0,494;0,612;0;0,519;0,551;0,596
"completely";0,614;0,153;0,554;0,153;0,092;0,651;0,554;0,661;0,593;0,577;0,605;0,646
"comer";0,614;0,577;0,554;0,577;0,619;0,651;0,554;0;0,593;0,577;0,605;0,646
"chief";0,56;0,519;0,494;0,519;0,001;0;0,494;0,612;0,537;0,519;0,551;0,596
"charge";0,097;0,577;0,554;0,577;0,092;0,055;0,554;0,661;0,593;0,577;0,605;0,646
"bullet";0,56;0,519;0,494;0,519;0,565;0,601;0;0,612;0,537;0,519;0,551;0,596
"break";0,56;0,519;0,494;0,519;0,565;0,601;0,494;0,612;0;0,519;0,551;0,596
"blow";0,56;0,519;0,494;0,519;0,187;0,125;0,338;0,612;0,537;0,519;0,551;0,134
"begin";0,56;0,281;0,009;0,519;0,565;0,601;0,338;0,612;0,537;0,519;0,551;0,596
"approach";0,56;0,519;0;0,519;0,565;0,601;0,338;0,612;0,537;0,519;0,551;0,596
"apparently";0,097;0,577;0,554;0,577;0,092;0,651;0,554;0,661;0,128;0,577;0,605;0,646
"ahead";0,56;0,519;0;0,519;0,565;0,601;0,494;0,612;0,537;0,519;0,551;0,134
"action";0,614;0,577;0,554;0,577;0,619;0,651;0,554;0,661;0,128;0,153;0,109;0,646
"accept";0,614;0,153;0,554;0,577;0,092;0,651;0,193;0,661;0,593;0,577;0,605;0,646
"yesterday";0,614;0,577;0,554;0,153;0,092;0,651;0,554;0,661;0,593;0,153;0,605;0,646
"worth";0,614;0,153;0,554;0,577;0,092;0,651;0,554;0,661;0,593;0,153;0,605;0,646
"wildfire";0,614;0,577;0,554;0,577;0,619;0,651;0,554;0,661;0;0,577;0,605;0,646
"western";0,614;0,577;0,554;0,577;0;0,651;0,554;0,661;0,593;0,577;0,605;0,06
"week";0,614;0,153;0,554;0,577;0,619;0,651;0,554;0,661;0,593;0,577;0,109;0,06
"violate";0,614;0,577;0,554;0,577;0,619;0,651;0,193;0,046;0,593;0,153;0,605;0,646
"verge";0,614;0,577;0,554;0,153;0,619;0,651;0,554;0,046;0,593;0,153;0,605;0,646
"uptick";0,614;0,577;0;0,577;0,619;0,651;0,554;0,661;0,593;0,577;0,605;0,646
"u2s";0,614;0,577;0,554;0,577;0,619;0;0,554;0,661;0,593;0,577;0,605;0,646
"trade";0;0,577;0,554;0,577;0,619;0,651;0,193;0,661;0,593;0,577;0,605;0,646
"tour";0,614;0,577;0,554;0,577;0,619;0,651;0,554;0,661;0;0,577;0,605;0,06
"terrorist";0;0,577;0,554;0,577;0,619;0,651;0,554;0,661;0,593;0,153;0,605;0,646
"term";0,614;0,153;0,554;0,153;0,092;0,651;0,554;0,661;0,593;0,577;0,605;0,646
"student";0,614;0,577;0,554;0,001;0,619;0,651;0,193;0,661;0,593;0,577;0,605;0,646
"street";0,614;0,001;0,554;0,577;0,092;0,651;0,554;0,661;0,593;0,577;0,605;0,646
"status";0,614;0,577;0,554;0,577;0;0,055;0,554;0,661;0,593;0,577;0,605;0,646
"spread";0,614;0,577;0,554;0,577;0,092;0,651;0,193;0,661;0,128;0,577;0,605;0,646
"speed";0,614;0,577;0,554;0,577;0,619;0,651;0,001;0,661;0,593;0,577;0,605;0,06
"sleep";0,097;0,153;0,554;0,577;0,619;0,651;0,554;0,661;0,593;0,577;0,605;0,06
"short";0,614;0,001;0,554;0,577;0,092;0,651;0,554;0,661;0,593;0,577;0,605;0,646
"shelf";0,614;0,577;0,554;0,577;0;0,651;0,554;0,661;0,593;0,153;0,605;0,646
"sanction";0,097;0,153;0,554;0,577;0,619;0,651;0,554;0,661;0,593;0,577;0,605;0,06
"russia_s";0,614;0;0,554;0,577;0,619;0,651;0,554;0,661;0,593;0,577;0,605;0,646
"reuters";0,614;0,577;0,554;0,577;0,619;0,651;0,554;0;0,593;0,153;0,605;0,646
"responsibility";0,614;0,577;0,554;0,577;0,619;0,651;0,554;0;0,128;0,577;0,605;0,646
"reply";0,614;0,577;0,554;0,577;0,619;0,055;0,554;0,046;0,128;0,577;0,605;0,646
"recognize";0,614;0,577;0,554;0,577;0,092;0,651;0,554;0,661;0,593;0,153;0,109;0,646
"ready";0;0,577;0,554;0,577;0,619;0,651;0,554;0,661;0,593;0,153;0,605;0,646
"raise";0,614;0,577;0,554;0,153;0,619;0,651;0,554;0,661;0,128;0,153;0,605;0,646
"professor";0,614;0,577;0,554;0,577;0,619;0;0,554;0,046;0,593;0,577;0,605;0,646
"pompeo";0,097;0,577;0,554;0,153;0,092;0,651;0,554;0,661;0,593;0,577;0,605;0,646
"pla";0;0,577;0,554;0,577;0,619;0,651;0,554;0,046;0,593;0,577;0,605;0,646
"photo";0,614;0,577;0,554;0,577;0;0,651;0,554;0,661;0,593;0,577;0,109;0,646
"oversight";0,614;0,577;0,554;0,577;0,619;0,651;0,554;0;0,593;0,577;0,605;0,646
"october";0,097;0,153;0,554;0,577;0,619;0,651;0,554;0,661;0,128;0,577;0,605;0,646
"norad";0,097;0,577;0,554;0,153;0,092;0,651;0,554;0,661;0,593;0,577;0,605;0,646
"newsroom";0,614;0,577;0,001;0,577;0,619;0,651;0,554;0,661;0,593;0,577;0,605;0,06
"mike";0,097;0,577;0,554;0,153;0,092;0,651;0,554;0,661;0,593;0,577;0,605;0,646
"material";0,614;0,153;0,554;0,577;0,619;0,651;0,193;0,661;0,593;0,153;0,605;0,646
"lunar";0,614;0,577;0;0,577;0,619;0,651;0,554;0,661;0,593;0,577;0,605;0,646
"lmao";0,614;0,577;0,554;0,577;0,092;0,651;0,554;0;0,593;0,577;0,605;0,646
"literal";0,097;0,577;0,554;0,577;0,619;0,651;0,193;0,661;0,128;0,577;0,605;0,646
"link";0,097;0,577;0,554;0,577;0,619;0,055;0,554;0,661;0,128;0,577;0,605;0,646
"likelihood";0,614;0,577;0,554;0,577;0,619;0,651;0,554;0,661;0;0,577;0,605;0,646
"legal";0,614;0,577;0,554;0,153;0,092;0,651;0,554;0,661;0,593;0,153;0,605;0,646
"knowledge";0,614;0,577;0,554;0,153;0,619;0,651;0,193;0,661;0,593;0,577;0,109;0,646
"inconsistent";0,614;0,577;0,554;0,577;0,619;0;0,554;0,661;0,593;0,577;0,605;0,646
"incendiary";0,614;0,577;0,554;0,577;0,619;0,651;0,554;0,661;0;0,577;0,605;0,646
"idk";0,614;0,577;0,554;0,577;0,619;0,651;0,554;0,661;0,593;0;0,605;0,646
"holiday";0,614;0,577;0;0,577;0,619;0,651;0,554;0,661;0,593;0,577;0,605;0,646
"hell";0,097;0,153;0,554;0,577;0,619;0,651;0,193;0,661;0,593;0,577;0,605;0,646
"group";0,614;0,577;0,554;0,577;0,092;0,651;0,554;0,661;0;0,577;0,605;0,646
"giant";0,614;0,153;0,554;0,153;0,619;0,651;0,554;0,661;0,593;0,577;0,605;0,06
"footage";0,614;0,577;0,554;0,153;0,092;0,651;0,193;0,661;0,593;0,577;0,605;0,646
"field";0,097;0,577;0,554;0,577;0,619;0,055;0,554;0,661;0,593;0,577;0,605;0,06
"fear";0,614;0,577;0,554;0,577;0,092;0,651;0,193;0,661;0,593;0,153;0,605;0,646
"espionage";0,614;0,153;0,554;0,577;0,619;0,651;0,554;0,661;0,128;0,577;0,109;0,646
"economy";0,614;0,153;0,554;0,153;0,619;0,651;0,554;0,661;0,593;0,577;0,605;0,06
"early";0,614;0,577;0,554;0,153;0;0,651;0,554;0,661;0,593;0,577;0,605;0,646
"doubt";0,097;0,577;0,554;0,577;0,619;0,651;0,554;0,661;0;0,577;0,605;0,646
"discuss";0,614;0,153;0,554;0,577;0,619;0,651;0,554;0,661;0,128;0,577;0,109;0,646
"discord";0,614;0,577;0,554;0,577;0,619;0,651;0,554;0,661;0;0,577;0,605;0,646
"decade";0,614;0,577;0,193;0,577;0,619;0,651;0,554;0,661;0,593;0,153;0,109;0,646
"continent";0,614;0,577;0,554;0,577;0,092;0,651;0,193;0,661;0,128;0,577;0,605;0,646
"conjunction";0,614;0,577;0,554;0,577;0,619;0,651;0,554;0,661;0;0,577;0,605;0,646
"compromise";0,097;0,153;0,554;0,577;0,619;0,651;0,554;0,661;0,593;0,153;0,605;0,646
"carry";0,614;0,577;0,554;0,577;0;0,651;0,554;0,661;0,593;0,577;0,109;0,646
"canada";0,614;0,577;0,554;0,001;0,619;0,651;0,554;0,046;0,593;0,577;0,605;0,646
"california";0,614;0,577;0,554;0,577;0,619;0,651;0,554;0,661;0;0,577;0,605;0,646
"board";0,614;0,153;0,554;0,577;0;0,651;0,554;0,661;0,593;0,577;0,605;0,646
"blood";0,614;0,577;0,554;0,153;0,619;0,651;0,554;0,661;0,593;0,153;0,605;0,06
"blame";0,614;0,577;0,554;0,577;0,619;0,651;0,554;0,661;0,128;0,001;0,605;0,646
"beijing";0,614;0,577;0,001;0,577;0,092;0,651;0,554;0,661;0,593;0,577;0,605;0,646
"beat";0,614;0,153;0,554;0,153;0,619;0,651;0,554;0,661;0,593;0,577;0,605;0,06
"attempt";0,614;0,577;0,193;0,153;0,619;0,651;0,554;0,661;0,128;0,577;0,605;0,646
"army";0,614;0,153;0,554;0,001;0,619;0,651;0,554;0,661;0,593;0,577;0,605;0,646
"ally";0,614;0,153;0,554;0,577;0,619;0,651;0,193;0,661;0,593;0,153;0,605;0,646
"alert";0,614;0,577;0,001;0,577;0,619;0,651;0,193;0,661;0,593;0,577;0,605;0,646
"alberta";0,614;0,577;0,554;0,577;0,619;0,651;0,554;0,661;0;0,577;0,605;0,646
"alaska";0,614;0,153;0,554;0,153;0,092;0,651;0,554;0,661;0,593;0,577;0,605;0,646
"agent";0,614;0,577;0,554;0,577;0,619;0;0,554;0,046;0,593;0,577;0,605;0,646
"afghanistan";0,614;0,001;0,554;0,577;0,619;0,651;0,554;0,661;0,593;0,577;0,605;0,06
"*id_10160114601274160";0,681;0,649;0,629;0;0,685;0,712;0,629;0,72;0,663;0,649;0,673;0,708
"*id_1799888017265500416";1;1;1;1;1;1;1;1;1;1;1;1
"*phase_Fin";0,354;0,305;0,965;0,944;0,007;0,634;0,317;0,42;0,326;0,944;0,343;0,655
"*platform_Facebook";0,002;0,008;0;0,394;0,223;0,35;0,004;0,027;0,001;0,024;0,002;0,005
"*id_1800201778392432896";0,771;0,748;0,733;0,748;0,774;0,794;0,733;0,8;0,001;0,748;0,766;0,791
"*phase_Pic";0,118;0,002;0;0,139;0,041;0,049;0;0,373;0,273;0,758;0,549;0,006
"*id_1800254127433286144";0,771;0,002;0,733;0,748;0,774;0,794;0,733;0,8;0,758;0,748;0,766;0,791
"*id_1800892010691211520";0,681;0,048;0,629;0,649;0,685;0,712;0,629;0,72;0,663;0,649;0,673;0,013
"*id_t1_j75iaso";0,614;0,577;0,554;0,577;0,619;0,651;0;0,661;0,593;0,577;0,605;0,646
"*id_t1_j73yx9e";1;1;1;1;1;1;1;1;1;1;1;1
"*id_1800338076100923392";0,771;0,748;0,733;0,748;0,774;0,794;0,733;0,8;0,758;0,748;0,001;0,791
"*id_t1_j70tjxp";0,681;0,649;0,629;0,649;0,685;0,712;0;0,72;0,663;0,649;0,673;0,708
"*phase_Début";0,03;0,002;0;0,198;0,338;0,093;0,514;0,019;0;0,135;0,073;0,034
"*id_6148531251881822";0,681;0,649;0,629;0,649;0;0,712;0,629;0,72;0,663;0,649;0,673;0,708
