"";"";"";"";"learn";""
"69";"east";"-0.547307134322343";"-0.290643300267572";"0.831694190926866";"377"
"70";"child";"-0.569956086629915";"0.253654733358806";"0.831694190926866";"379"
"71";"put";"-0.554035875985098";"0.123964465929397";"0.831694190926866";"380"
"72";"guy";"-0.423738837892282";"0.550348502175504";"0.831694190926866";"381"
"73";"law";"-0.543409354122453";"0.0358362380536955";"0.831694190926866";"382"
"74";"literally";"-0.487319103992144";"0.161192469074268";"0.831694190926866";"383"
"75";"guess";"-0.528475147389375";"0.229225130846136";"0.831694190926866";"384"
"76";"weapon";"-0.500106596424864";"0.64129400711259";"0.831694190926866";"385"
"77";"leave";"-0.425439070326089";"0.621965170595451";"0.830437819373767";"386"
"78";"china_s";"-0.406825459502456";"0.844811580212633";"0.830325726744495";"387"
"79";"intercept";"-0.665659305210234";"-1.07192994613082";"0.830325726744495";"388"
"80";"enemy";"-0.577434461816936";"-0.0439442948451165";"0.829685864652396";"389"
"81";"train";"-0.497820264721629";"0.997252443714771";"0.829214141504207";"390"
"82";"capable";"-0.461834559325411";"0.63643740798758";"0.829214141504207";"391"
"83";"find";"-0.599187732715191";"0.112240430501204";"0.827140427862661";"395"
"84";"site";"-0.6046080175215";"0.270853646031225";"0.827140427862661";"396"
"85";"damn";"-0.480954591949132";"0.275320960187537";"0.826645352083373";"398"
"86";"wind";"-0.567466860173629";"-0.853887456912683";"0.824935939486964";"404"
"87";"back";"-0.559904589544038";"-0.513857738916278";"0.824935939486964";"405"
"88";"give";"-0.484284400002862";"0.410582324428929";"0.822507265852721";"409"
"89";"collect";"-0.517560829596592";"-0.162412549469792";"0.821811357445986";"410"
"90";"lot";"-0.418589118680681";"1.09128088158572";"0.82114347219657";"411"
"91";"america_s";"-0.528079631198034";"0.621743829803441";"0.82114347219657";"412"
"92";"democrat";"-0.411819753775852";"1.47345162547882";"0.82114347219657";"413"
"93";"fuck";"-0.512371653254404";"0.551067828337447";"0.82114347219657";"414"
"94";"billion";"-0.499869778416953";"0.893780187402577";"0.820895934306926";"416"
"95";"person";"-0.0359615366168856";"0.291073686052443";"0.820470916420933";"417"
"96";"long";"-0.583033537821461";"0.415174281795544";"0.819186521710517";"418"
"97";"target";"-0.5472250015461";"0.385728173893378";"0.819186521710517";"419"
"98";"object";"-0.566560059047748";"-0.255438693812665";"0.817159513331168";"420"
"99";"good";"-0.586341369898756";"-0.209940123280956";"0.817159513331168";"422"
"100";"war";"-0.508728295537602";"0.556033159427901";"0.814884967062175";"423"
"101";"land";"-0.538172249861581";"0.432870184094756";"0.814259116548736";"424"
"102";"end";"-0.634894537513469";"-0.794883033879946";"0.813717335507251";"426"
"103";"verge";"-0.571293646862527";"-0.477995224849886";"0.813717335507251";"427"
"104";"violate";"-0.609118381481875";"-1.02742039320516";"0.813717335507251";"430"
"105";"charge";"-0.432652264192842";"-0.291011900057518";"0.812292825010243";"432"
"106";"arrest";"-0.438419979261754";"0.986074723815421";"0.812292825010243";"435"
"107";"result";"-0.569233382742463";"-0.611473513794509";"0.812292825010243";"436"
"108";"sanction";"-0.419819207475481";"1.60244706904547";"0.811638951339486";"439"
"109";"surprise";"-0.403724691215748";"1.13934201508927";"0.811638951339486";"441"
"110";"medium";"-0.420774681126042";"1.77947739914037";"0.811638951339486";"442"
"111";"vote";"-0.450521081385437";"1.14272720166329";"0.811638951339486";"443"
"112";"similar";"-0.395646356855795";"1.05201698596747";"0.811638951339486";"444"
"113";"member";"-0.394998525094447";"1.54694003981516";"0.811638951339486";"445"
"114";"economy";"-0.420774681126042";"1.77947739914037";"0.811638951339486";"447"
"115";"blood";"-0.394998525094447";"1.54694003981516";"0.811638951339486";"448"
"116";"fact";"-0.389230810025535";"0.269853415942215";"0.808378924038137";"454"
"117";"apparently";"-0.592212952499736";"-0.97702825221993";"0.808378924038137";"455"
"118";"pompeo";"-0.406928631697176";"0.415065746145623";"0.808378924038137";"456"
"119";"norad";"-0.406928631697176";"0.415065746145623";"0.808378924038137";"457"
"120";"mike";"-0.406928631697176";"0.415065746145623";"0.808378924038137";"458"
"121";"recover";"-0.453787174327038";"0.129995937007055";"0.808378924038137";"459"
"122";"completely";"-0.41596243970769";"0.679421105362326";"0.808378924038137";"460"
"123";"accept";"-0.453787174327038";"0.129995937007055";"0.808378924038137";"461"
"124";"yesterday";"-0.390186283676095";"0.446883746037115";"0.808378924038137";"463"
"125";"term";"-0.41596243970769";"0.679421105362326";"0.808378924038137";"464"
"126";"legal";"-0.390186283676095";"0.446883746037115";"0.808378924038137";"465"
"127";"footage";"-0.445708839967085";"0.0426709078852514";"0.808378924038137";"466"
"128";"alaska";"-0.41596243970769";"0.679421105362326";"0.808378924038137";"467"
"129";"power";"-0.728794071049358";"-1.29748986595692";"0.808378924038137";"468"
"130";"contact";"-0.575470604478655";"-0.945210252328437";"0.808378924038137";"469"
"131";"worth";"-0.398264618036048";"0.534208775158919";"0.808378924038137";"470"
"132";"recognize";"-0.525811928575156";"-0.0506081977947749";"0.808378924038137";"472"
"133";"fear";"-0.428011018295444";"-0.102541422318156";"0.808378924038137";"473"
"134";"continent";"-0.630993160769645";"-1.3494230904803";"0.808378924038137";"474"
"135";"real";"-0.647087677029378";"-0.886318036524105";"0.807921212468607";"475"
"136";"steal";"-0.432056955967423";"1.14252615931852";"0.807921212468607";"476"
"137";"technology";"-0.414359134295781";"0.997313829115115";"0.807921212468607";"477"
"138";"october";"-0.617341276769983";"-0.24956783904703";"0.807921212468607";"478"
"139";"literal";"-0.647087677029378";"-0.886318036524105";"0.807921212468607";"479"
"140";"hell";"-0.469881690586771";"0.593100990963251";"0.807921212468607";"480"
"141";"compromise";"-0.414359134295781";"0.997313829115115";"0.807921212468607";"481"
"142";"include";"-0.611372885539747";"-0.557683027591121";"0.807888518785069";"482"
"143";"lie";"-0.527975017298647";"-0.465046319761479";"0.807108540906379";"484"
"144";"publicly";"-0.642967617226674";"-0.729256029982842";"0.807108540906379";"485"
"145";"generally";"-0.721367667551529";"-1.33217490911122";"0.807108540906379";"487"
"146";"kind";"-0.606462809136392";"0.272639377226261";"0.807071176696622";"489"
"147";"destroy";"-0.606462809136392";"0.272639377226261";"0.807071176696622";"490"
"148";"knowledge";"-0.59838447477644";"0.185314348104457";"0.807071176696622";"492"
"149";"population";"-0.580686653104798";"0.0401020179010502";"0.807071176696622";"493"
"150";"action";"-0.72814623928801";"-0.802566812109232";"0.807071176696622";"494"
"151";"espionage";"-0.753922395319604";"-0.570029452784021";"0.807071176696622";"495"
"152";"discuss";"-0.753922395319604";"-0.570029452784021";"0.807071176696622";"496"
"153";"assessment";"-0.598285244942479";"-0.862375397053911";"0.806062343033167";"500"
"154";"share";"-0.574011748862743";"0.0035434091603061";"0.806062343033167";"501"
"155";"blow";"-0.450629566792614";"0.155443493629695";"0.806062343033167";"502"
"156";"raise";"-0.592520594388949";"-0.305074868277341";"0.805931568299016";"505"
"157";"son";"-0.407824563167387";"1.40098391920445";"0.805585949358758";"506"
"158";"woman";"-0.415314607946342";"1.17434415921001";"0.8046238209575";"507"
"159";"govt";"-0.470837164237331";"0.770131321058151";"0.8046238209575";"508"
"160";"soldier";"-0.415314607946342";"1.17434415921001";"0.8046238209575";"509"
"161";"expect";"-0.470837164237331";"0.770131321058151";"0.8046238209575";"510"
"162";"important";"-0.445061008205737";"0.53759396173294";"0.8046238209575";"511"
"163";"material";"-0.45313934256569";"0.624918990854744";"0.8046238209575";"512"
"164";"ally";"-0.45313934256569";"0.624918990854744";"0.8046238209575";"513"
"165";"place";"-0.42652518229817";"0.098379050763113";"0.803203980986712";"516"
"166";"fighter";"-0.541517782226196";"-0.165830659458249";"0.803203980986712";"517"
"167";"interest";"-0.67095871506629";"-0.252236972086286";"0.802872373625114";"518"
"168";"ve";"-0.518722108210639";"0.682924279035323";"0.802872373625114";"519"
"169";"point";"-0.526865859425134";"0.0723059206629461";"0.802447355739121";"520"
"170";"super";"-0.598945448390517";"0.181086844630335";"0.802073713641546";"521"
"171";"bad";"-0.598324637594426";"-0.158414142907647";"0.801443192601887";"523"
"172";"close";"-0.529759711162217";"0.256024482566385";"0.8";"524"
