"";"";"";"";"learn";""
"1";"learn";"-0.486252018613709";"-0.549290175457017";"0.910840928245856";"188"
"2";"department";"-0.475510350175863";"-0.0925314834578929";"0.908907330390902";"189"
"3";"event";"-0.391172747266802";"0.970997489175305";"0.890594197083469";"213"
"4";"launch";"-0.636074606993191";"-0.325862812401296";"0.88826360449984";"215"
"5";"montana";"-0.531511221450359";"0.348733566002755";"0.887591048724203";"216"
"6";"surveillance";"-0.496657269609822";"-0.410342266014289";"0.884429102473468";"224"
"7";"president";"-0.483611990053929";"0.893607415034413";"0.874672373200521";"244"
"8";"state";"-0.494093639590872";"0.203436986639393";"0.872995654287649";"246"
"9";"payload";"-0.465128192999771";"0.0491396522200289";"0.8691191175253";"249"
"10";"gather";"-0.498946116399627";"-0.604468994980177";"0.867629219661217";"251"
"11";"open";"-0.397351732674711";"0.917026085341628";"0.866265426005066";"254"
"12";"western";"-0.378596366945502";"0.41188160191637";"0.865102464976361";"261"
"13";"status";"-0.416557747933108";"-0.754116954013715";"0.865102464976361";"262"
"14";"photo";"-0.526459760336504";"-0.545531251642464";"0.865102464976361";"264"
"15";"carry";"-0.526459760336504";"-0.545531251642464";"0.865102464976361";"265"
"16";"worry";"-0.470308581467864";"0.465710307853844";"0.863944174473876";"268"
"17";"dumb";"-0.60830746875947";"-0.513923198263733";"0.863229583962262";"270"
"18";"trade";"-0.460847882576258";"0.328745631746549";"0.863229583962262";"271"
"19";"terrorist";"-0.405325326285268";"0.732958469898412";"0.863229583962262";"272"
"20";"ready";"-0.405325326285268";"0.732958469898412";"0.863229583962262";"273"
"21";"house";"-0.596225273939954";"-0.637318936666296";"0.861660287152444";"275"
"22";"stuff";"-0.67372924409866";"-0.894892558731537";"0.854150080991171";"295"
"23";"know";"-0.623892643638676";"-0.630878671672549";"0.853664346264322";"296"
"24";"happen";"-0.413975949052885";"0.9978582413578";"0.849937266341004";"302"
"25";"home";"-0.388582978264187";"0.764776469789904";"0.849586976874526";"303"
"26";"americans";"-0.441090763977936";"1.40688151853523";"0.849586976874526";"304"
"27";"street";"-0.424040774067643";"0.766746134484129";"0.849586976874526";"307"
"28";"refuse";"-0.433012429617983";"1.31955648941342";"0.849586976874526";"310"
"29";"truth";"-0.407236273586389";"1.08701913008821";"0.849586976874526";"311"
"30";"student";"-0.462758829877378";"0.682806291936347";"0.849586976874526";"312"
"31";"canada";"-0.588991468534168";"-0.332782894646479";"0.849586976874526";"313"
"32";"response";"-0.372488462004454";"0.301671415833708";"0.849586976874526";"315"
"33";"actual";"-0.574822772717308";"-0.450287198480749";"0.849586976874526";"316"
"34";"wrong";"-0.574822772717308";"-0.450287198480749";"0.849586976874526";"317"
"35";"blame";"-0.574822772717308";"-0.450287198480749";"0.849586976874526";"318"
"36";"hide";"-0.710729202867121";"-0.550818752565524";"0.848559461106193";"320"
"37";"nation";"-0.503762062520445";"0.596618462478979";"0.847667390598231";"323"
"38";"continue";"-0.646931123918738";"-0.964642318409819";"0.843305119109033";"324"
"39";"control";"-0.697795336798628";"-1.27596714489081";"0.843305119109033";"330"
"40";"incursion";"-0.39935911039259";"0.272028384214975";"0.843277095951715";"332"
"41";"territory";"-0.433786412127066";"-0.0745467202101265";"0.843277095951715";"333"
"42";"part";"-0.550770691314204";"-1.31380125825505";"0.843277095951715";"334"
"43";"atlantic";"-0.405378468510608";"-0.366439098089937";"0.843277095951715";"335"
"44";"transit";"-0.433786412127066";"-0.0745467202101265";"0.843277095951715";"336"
"45";"foot";"-0.500583564496727";"0.133381123581076";"0.842805372803526";"341"
"46";"speed";"-0.488345816004785";"0.59330203330802";"0.842805372803526";"343"
"47";"american";"-0.477728460640845";"-0.291258816111117";"0.842618551754738";"344"
"48";"police";"-0.685507155341213";"-1.25114529982847";"0.841880608612026";"345"
"49";"racism";"-0.581756849755858";"-0.606942768277251";"0.841880608612026";"346"
"50";"buy";"-0.568522876154074";"-0.0118907617835428";"0.841880608612026";"347"
"51";"0001f388";"-0.401049207159502";"1.20271739979192";"0.841880608612026";"348"
"52";"station";"-0.685507155341213";"-1.25114529982847";"0.841880608612026";"349"
"53";"life";"-0.429559635552154";"1.03217973699062";"0.841880608612026";"350"
"54";"secret";"-0.641347522607284";"-0.680662582900399";"0.839947010757071";"352"
"55";"twitter";"-0.458037307132085";"-0.712879277026629";"0.839853600232677";"354"
"56";"need";"-0.610963854066748";"0.201098970818195";"0.839363194979609";"356"
"57";"tech";"-0.63487779454565";"-0.523666228146895";"0.839269784455215";"358"
"58";"stop";"-0.420128453629736";"0.817775212333152";"0.838840096043003";"360"
"59";"purpose";"-0.50291152864637";"0.81039555835213";"0.83826562131798";"361"
"60";"restrict";"-0.791792317703445";"-1.70913003316895";"0.835752878211783";"364"
"61";"easily";"-0.737287878196346";"-1.20248464168181";"0.835752878211783";"365"
"62";"watch";"-0.6170623098644";"-0.311626912199171";"0.833847303514146";"367"
"63";"believe";"-0.560736333316068";"-0.732418026121091";"0.833847303514146";"368"
"64";"communication";"-0.643793468253381";"-1.17800173605262";"0.832544226698851";"369"
"65";"current";"-0.397670757512648";"0.881640217415333";"0.831694190926866";"373"
"66";"traitor";"-0.430276240790074";"1.1649524845618";"0.831694190926866";"374"
"67";"installation";"-0.403729508282613";"0.947133989256685";"0.831694190926866";"375"
"68";"obvious";"-0.677734071074175";"-0.0539704526737592";"0.831694190926866";"376"
