"";"";"";"";"*id_769236291894499";""
"1";"*id_769236291894499";"3.09589957628733";"-0.411089115901326";"0.924654307481545";"37"
"2";"*id_t1_j75zg3c";"-0.424934095258027";"1.23223146029162";"0.87007874791796";"61"
"3";"*id_1800898652510281984";"-0.424934095258027";"1.23223146029162";"0.87007874791796";"64"
"4";"*id_1800768995680985344";"-0.538408299116074";"-0.416044044774195";"0.862215126039377";"68"
"5";"*id_1800626178753171968";"-0.430276240790074";"1.1649524845618";"0.856649878937807";"69"
"6";"*id_10161139794274300";"-0.437944559136085";"-0.787088085089736";"0.846386695971274";"75"
"7";"*id_t1_j7dz7y7";"-0.46331457444914";"1.09797507234912";"0.844854446119932";"78"
"8";"*id_t1_j746a6c";"-0.381002487654677";"0.961909748805386";"0.844854446119932";"81"
"9";"*id_t3_10scu1l";"-0.45609621232161";"-0.552109368317933";"0.837157058895032";"82"
"10";"*id_t1_j713qfp";"-0.685109664535643";"-0.338144207989123";"0.834063648817796";"87"
"11";"*id_t1_j79yyxf";"-0.685109664535643";"-0.338144207989123";"0.834063648817796";"88"
"12";"*id_1799430952143278336";"-0.437051596797963";"1.36321900397433";"0.828223753157966";"93"
"13";"*id_t1_kt68m5f";"-0.45512446467959";"0.190275212453599";"0.828223753157966";"95"
"14";"*id_t1_j734wpx";"-0.415909916171758";"-0.259193900166026";"0.826626454963879";"96"
"15";"*id_t1_j74dwk5";"-0.432823259713795";"0.99751487145988";"0.825614591854502";"97"
"16";"*id_1800001363868270592";"-0.415314607946344";"1.17434415921002";"0.81475874620962";"98"
"17";"*id_t1_j75bloo";"-0.61932622850145";"-0.702383834592713";"0.807986490970436";"99"
