"";"Coord. facteur 1";"Coord. facteur 2";"Corr. facteur 1";"Corr. facteur 2";"COR -facteur 1";"COR -facteur 2";"CTR -facteur 1";"CTR -facteur 2";"mass";"chi.distance";"inertie"
"nom";-0,317539397243371;0,584872837009038;-0,477134803935166;0,87883011946209;0,791714855297103;0,208285144702898;0,0247263074258594;0,0838855075598873;0,245224598675749;0,0379602126707077;0,000353363189464849
"ver";-0,010594394131619;0,98406333416846;-0,0107653438959674;0,999942052006416;0,0014924358708749;0,998507564129124;8,23376496950254e-06;0,0710382601013819;0,0733577859286429;0,0291704886199547;6,24214169362854e-05
"sw";0,684922341330039;-0,247385142112684;0,940531053972375;-0,339707722187196;0,989984907520913;0,0100150924790874;0,244134752258337;0,0318488800209061;0,520411565760015;0,0732221477541461;0,00279017772209309
"num";-1,49340952175104;-7,44012871357614;-0,196798263361699;-0,980444003264755;0,341914451715923;0,658085548284078;0,0326153243411899;0,80951475202668;0,0146239222598009;0,271666198118155;0,00107928236185355
"nr";-2,34426212245815;0,125267015075294;-0,998575369344254;0,0533594578213369;0,999778625906813;0,000221374093187071;0,666493985248627;0,00190308134224335;0,121278521411899;0,249384618897387;0,00754263726056526
"adj";1,12941118007006;0,26848097291331;0,97288892459874;0,231272869989342;0,995636994940588;0,00436300505941265;0,0320213969610176;0,00180951894890123;0,0251036059638927;0,12039736651924;0,000363889969548554
