"";"x"
"639";0
"640";3
"641";3
"642";2
"643";4
"644";0
"645";0
"646";2
"647";0
"648";2
"649";3
"650";3
"651";0
"652";0
"653";1
"654";0
"655";2
"656";0
"657";3
"658";1
"659";0
"660";2
"661";3
"662";3
"663";3
"664";3
"665";3
"666";3
"667";0
"668";2
"669";3
"670";3
"671";0
"672";0
"673";4
"674";0
"675";1
"676";3
"677";3
"678";3
"679";2
"680";3
"681";3
"682";3
"683";1
"684";3
"685";1
"686";0
"687";0
"688";1
"689";3
"690";3
"691";3
"692";3
"693";3
"694";4
"695";3
"696";1
"697";2
"698";2
"699";2
"700";1
"701";2
"702";0
"703";3
"704";3
"705";2
"706";1
"707";3
"708";1
"709";2
"710";2
"711";2
"712";4
"713";2
"714";3
"715";1
"716";1
"717";2
"718";3
"719";3
"720";4
"721";3
"722";3
"723";3
"724";1
"725";0
"726";0
"727";1
"728";0
"729";3
"730";0
"731";0
"732";3
"733";3
"734";1
"735";0
"736";1
"737";3
"738";1
"739";3
"740";3
"741";2
"742";2
"743";3
"744";3
"745";3
"746";3
"747";1
"748";3
"749";3
"750";1
"751";3
"752";2
"753";0
"754";0
"755";3
"756";3
"757";0
"758";3
"759";1
"760";3
"761";3
"762";3
"763";1
"764";1
"765";1
"766";3
"767";3
"768";4
"769";3
"770";3
"771";2
"772";3
"773";2
"774";3
"775";0
"776";0
"777";3
"778";1
"779";3
"780";0
"781";2
"782";1
"783";3
"784";4
"785";1
"786";3
"787";3
"788";3
"789";1
"790";3
"791";3
"792";2
"793";3
"794";3
"795";2
"796";3
"797";0
"798";1
"799";2
"800";0
"801";3
"802";2
"803";2
"804";3
"805";2
"806";2
"807";2
"808";0
"809";1
"810";3
"811";3
"812";2
"813";3
"814";1
"815";0
"816";0
"817";1
"818";3
"819";3
"820";0
"821";3
"822";3
"823";1
"824";3
"825";3
"826";3
"827";3
"828";2
"829";3
"830";2
"831";2
"832";2
"833";2
"834";2
"835";2
"836";2
"837";0
"838";5
"839";2
"840";2
"841";3
"842";1
"843";3
"844";3
"845";3
"846";3
"847";3
"848";3
"849";3
"850";3
"851";3
"852";3
"853";1
"854";1
"855";2
"856";2
"857";2
"858";2
"859";2
"860";3
"861";2
