the;137;79;117;50;48
u;33;19;18;9;6
to;102;45;81;32;5
a;97;44;91;25;29
and;71;39;62;28;21
of;59;36;62;24;32
it;49;32;59;15;22
in;63;32;41;20;28
is;64;28;63;17;3
that;51;33;56;25;6
on;48;20;28;11;16
they;36;17;48;10;0
for;47;19;34;8;7
i;32;14;30;13;0
you;33;14;31;15;0
over;35;13;15;11;33
this;37;7;30;10;4
s;18;27;9;16;32
not;27;19;30;9;1
with;22;14;19;9;16
have;27;13;29;8;7
we;24;10;29;9;0
was;29;22;19;9;1
are;19;7;33;13;2
it_s;16;12;34;8;0
our;31;4;13;9;0
us;21;12;18;7;4
at;12;9;19;17;4
just;21;8;17;6;9
so;20;6;24;5;0
be;24;5;27;6;0
about;25;10;18;6;0
from;16;13;19;6;3
has;20;14;10;5;14
but;20;10;18;8;0
or;16;7;19;2;8
all;18;5;23;9;0
as;9;11;15;4;5
were;9;6;9;4;16
if;17;5;24;6;0
there;16;7;18;4;0
said;3;15;2;0;31
one;10;5;10;4;14
no;14;7;16;2;0
do;15;6;9;7;0
more;8;4;14;3;9
their;12;8;11;3;0
been;10;5;16;6;6
had;12;5;4;3;13
when;21;4;4;4;0
he;16;3;1;5;0
would;14;5;17;0;0
an;12;2;8;6;6
how;8;7;14;4;0
can;9;6;20;3;0
why;6;6;19;2;0
don_t;13;4;11;5;0
by;9;12;3;3;0
now;9;6;7;1;0
his;13;1;0;11;0
those;9;4;8;4;4
com;5;14;4;4;2
think;11;5;8;4;0
out;9;3;9;4;0
them;7;3;10;5;2
because;9;4;14;3;0
take;6;4;8;4;0
also;5;8;6;3;6
who;13;0;4;5;0
other;10;5;10;4;0
make;11;4;10;1;0
could;9;3;13;2;0
than;5;2;16;3;0
even;10;4;10;3;0
its;4;5;10;1;4
which;5;6;5;0;10
up;14;0;5;5;0
didn_t;12;3;6;3;0
my;7;4;6;3;0
any;5;8;10;1;0
off;5;4;4;2;0
into;4;8;7;3;0
get;9;2;9;2;0
your;7;4;5;3;0
