"";"*phase_Après";"*phase_Début";"*phase_Fin";"*phase_Pic";"*phase_Unknown"
"nom";418;3;61;215;2
"ver";154;1;21;70;0
"sw";810;8;117;377;3
"num";18;0;2;9;0
"nr";308;2;43;95;0
"adj";44;0;4;15;0
