"";"X.phase_Après";"X.phase_Début";"X.phase_Fin";"X.phase_Pic";"X.phase_Unknown"
"nom";-1,3507;-0,282;-0,3197;1,5346;0,436
"ver";0,2796;-0,1884;-0,3155;0,3524;-0,1998
"sw";-0,7756;0,5099;0,3027;0,6858;0,3534
"num";-0,2613;-0,0634;-0,2848;0,3761;-0,0226
"nr";2,7589;-0,217;0,5227;-3,563;-0,3789
"adj";0,8511;-0,1387;-0,4798;-0,5488;-0,0495
