"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"mass";"chi.distance";"inertie"
"nom";-0,913079571000063;0,265329388227606;-0,578930655148238;1,29038050612482;-0,535776500515354;0,155689882485014;-0,339704720495124;0,757169006801423;0,954617656767825;0,00881678572929871;0,00994753187578679;0,0266180256270893;0,208130820636208;0,0175747783199314;0,0836704756163526;0,41567579055724;0,249642857142857;0,0702749743436061;0,00123287922902755
"ver";0,0609604233082376;1,34313057015345;2,67977742149432;-0,0959838303929466;0,0203222458894983;0,447756564457321;0,893351665446429;-0,0319979241744828;0,00959495719136524;0,509460978673881;0,480611962289412;0,000332101845342133;0,000326492360585786;0,158494261859378;0,630920331811672;0,00080941869337067;0,0878571428571429;0,0467986423769984;0,000192417064417581
"sw";-0,298315263358916;-0,544968702637318;-0,0299664483892741;-0,835071958327896;-0,286494016823028;-0,523373396665769;-0,0287789772212689;-0,801980820504605;0,678110511868339;0,247525539060787;0,000177365893085569;0,0741865831777897;0,0417944554300225;0,139479648647598;0,000421733663651122;0,327503180676803;0,469642857142857;0,0272415639753248;0,000348523282959127
"num";-0,515102850621385;4,58535151558163;1,1039006272888;0,517796898760704;-0,107929713426419;0,960770600355081;0,231300755200242;0,108494198447775;0,102035884178036;0,884377447336428;0,0121471675327971;0,00143950095273977;0,00274807051958215;0,217763573972127;0,0126211790189033;0,00277689115093567;0,0103571428571429;0,121261877544716;0,000152296016223007
"nr";2,07771552905984;-0,464955987994227;-0,0629977272514543;0,816061514653216;0,910874855694209;-0,203837682562848;-0,0276183360602774;0,357763083540941;0,992403087257397;0,00543584406596988;2,36491608035208e-05;0,00213741951582964;0,690704291151425;0,03458945132347;0,00063499418221578;0,106553023311696;0,16;0,156837110880874;0,00393566069591351
"adj";1,58178338033973;4,38227888902817;-3,4751900712668;-2,553269760827;0,249161422913307;0,690293536500992;-0,547409533955946;-0,402189284952873;0,499745722365403;0,419548776499743;0,06252622803836;0,0181792730964941;0,056295869902177;0,432098285877495;0,271731285707205;0,146681695609955;0,0225;0,168259373103332;0,000637002374335342
