"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"mass";"chi.distance";"inertie"
"classe 1";0,648580453042238;0,108784434214778;-0,000557234879943858;0,0602989615068415;0,982103824648061;0,164725298771148;-0,000843785075934945;0,0913068539768628;0,993793759844225;0,00570469710635677;1,17541477431461e-07;0,000501425507941782;0,292910462549664;0,00824025569043103;2,1621397413179e-07;0,00253178509267397;0,696317280453258;0,340959163508703;0,0809490780741653
"classe 2";0,340445382680924;-1,82593409568798;1,69910145750013;-16,9360497910051;0,0198833773114669;-0,106641882714159;0,099234347383121;-0,989133309750165;0,00643829529315874;0,0377899844516865;0,0256957101578417;0,930076010097313;0,000394004731746496;0,0113338311222523;0,00981397993046706;0,975058750787772;0,00339943342776204;2,22355894295497;0,0168075276129009
"classe 3";-1,02491815631642;-3,35225086371432;0,965620652376192;0,496736137238118;-0,279286742302625;-0,913477058961275;0,263128372387838;0,13535892275714;0,299509281900701;0,65378575976866;0,0425981765367513;0,00410678179388669;0,0726095080520902;0,776762308271588;0,0644507851580972;0,0170555854870629;0,0691218130311615;0,98145566835898;0,0665819478370452
"classe 4";-1,65791930556103;0,732464549105865;-0,214066444790766;-0,0747271997008992;-0,907633899966002;0,400990357650022;-0,1171914468247;-0,0409096748379522;0,959125160575634;0,0381990223621699;0,00256207420683856;0,000113742855356924;0,633835379301449;0,123715159483638;0,0105668828405897;0,00128767752446527;0,230594900849858;0,88718132334282;0,181499102038949
"classe 5";0,665123348947855;-11,8789311887745;-40,1904436376034;-2,67896341066195;0,0158362702130442;-0,282831694970822;-0,956915324704844;-0,0637848431109988;0,00153356775771388;0,099812247846526;0,89720190441932;0,00145227997643861;0,000250645365051337;0,0799484454320907;0,915168135856871;0,00406620110802578;0,00056657223796034;8,90097032504169;0,0448879732165851
