"";"X.phase_Après";"X.phase_Début";"X.phase_Fin";"X.phase_Pic";"X.phase_Unknown"
"nom";238,58;214,29;245,97;275,29;400
"ver";87,9;71,43;84,68;89,63;0
"sw";462,33;571,43;471,77;482,71;600
"num";10,27;0;8,06;11,52;0
"nr";175,8;142,86;173,39;121,64;0
"adj";25,11;0;16,13;19,21;0
