"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Coord. facteur 7";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"Corr. facteur 7";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"COR -facteur 7";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"CTR -facteur 7";"mass";"chi.distance";"inertie"
"classe 1";-0,387995332673548;0,276339576002944;-0,579801824876879;1,30050917002701;1,5681780996304;-0,389568652284485;-4,89122982493264;-0,072311877665204;0,0515022525561982;-0,108059440668157;0,242379874411002;0,292266152059969;-0,0726051020564625;-0,91159347277643;0,0202690468215031;0,0074229968797381;0,0286073204714843;0,118896534045774;0,125755858559736;0,00661427272896213;0,692433970492804;0,00505347559249591;0,00256344110255167;0,0112848638983757;0,0567758973942803;0,0825520644718157;0,00509454233571068;0,803106810611132;0,0335689045936396;2,11667236625818;0,150398827235934
"classe 2";0,784226299147354;-0,440264912500193;0,239399593444519;0,0858165086818866;-0,412751797147224;-2,17989789654936;0,153093118879514;0,32509244974866;-0,182507012451229;0,0992404875816186;0,0355742966878361;-0,171101750883185;-0,903652871832629;0,063463080886621;0,255941267193257;0,0582369259384478;0,0150744692551626;0,0016001519640247;0,0269272865188783;0,640123225870285;0,00209667325994286;0,0901871090579001;0,0284243021799304;0,00840443414017008;0,00107994924465532;0,0249827134664414;0,696841434043402;0,00343694832686454;0,146643109540636;1,20396828265459;0,212564998105962
"classe 3";0,463400595179135;0,135010339714728;1,92529533428396;0,624598961276563;0,0748098053218489;0,825059338631814;0,0714372901446096;0,20679951445069;0,0602504031917253;0,859192121128352;0,278736719939833;0,0333850054955768;0,368195190936494;0,0318799696618161;0,0716292134022495;0,00438958889555619;0,78146481027092;0,0679425052570683;0,000709008090808624;0,0734989518019002;0,000365922281496363;0,0356635521052357;0,00302723044524611;0,615610670806122;0,0647908888130912;0,000929455221546882;0,113052921824691;0,000847542268164811;0,166077738515901;1,34479256045345;0,300346114631076
"classe 4";-0,896358636394307;0,190854833313858;-1,0155469281237;1,98847859229952;1,83293905496993;-0,174640219646858;1,53699249982962;-0,263432408470397;0,0560906609996323;-0,298460864131903;0,584397453756283;0,538685666902834;-0,0513253198099749;0,451709415842501;0,150467949000513;0,00492492354869919;0,12207256847424;0,386619949863597;0,238964600784194;0,00184885432651112;0,0951011540022465;0,063879233616148;0,00289602567661966;0,0819966437190226;0,314367703253546;0,267111220963839;0,00242484855887565;0,187819023858592;0,0795053003533569;1,79474853807654;0,256096297123241
"classe 5";-1,58478992190261;-0,141723641636799;-0,289224041240413;0,418751910628808;-1,79289679424221;0,23260509292957;-0,125568945562351;-0,642981621579935;-0,0575001744120392;-0,117344097451984;0,169896198110952;-0,727414827766781;0,0943726343615636;-0,0509458844493615;0,641972815311783;0,00370655649352396;0,0135138694399402;0,0234017789959547;0,312062046611905;0,00447657066856912;0,000866362478322936;0,354990685026727;0,00283895273481211;0,0118233987323585;0,0247848993152336;0,45434330951293;0,00764736809283022;0,00222863040136265;0,141342756183746;1,53623333015714;0,333570720096918
"classe 6";-1,33329316297976;-0,0782749695225793;0,509933721462279;-2,00070264756026;1,15469472027778;-0,239297788009575;0,102648682918429;-0,488554233130291;-0,0286820399070637;0,186853338150705;-0,733110897768388;0,42311099256231;-0,087685102239265;0,0376132196260344;0,389536935993763;0,000969294916490881;0,0360132658210919;0,457956752781339;0,110965719719972;0,00406170593330026;0,000496324834043203;0,210430979003629;0,000725277468554714;0,0307812205283617;0,473830994037031;0,157831153889584;0,00677853339258033;0,0012472833763737;0,118374558303887;1,65918621859573;0,325873192287147
"classe 7";0,911426374935459;-1,21892015072501;-0,919038185690429;-0,38923596685997;0,0239155595437368;0,912287457582736;0,00374042476656761;0,44764682993032;-0,598672318923049;-0,451385368827368;-0,191173145139746;0,0117461209266867;0,448069750451343;0,0018371086632921;0,298177773487263;0,385030716715542;0,191618262783676;0,0283935728788231;7,79740892070307e-05;0,0967006205127073;1,0795327817612e-06;0,161443081381765;0,288753174421879;0,164150937355631;0,0294443642556815;0,000111157135533396;0,161748276641175;2,71905568512149e-06;0,19434628975265;1,29636638127306;0,326611726845319
"classe 8";0,807566847226833;2,36287687102736;-0,795081130193423;-0,53916768490818;-0,317865855480947;0,231021851292573;0,104462900087132;0,298413362758634;0,873133952055139;-0,293799621098501;-0,199234085075121;-0,117458287404877;0,0853675553320202;0,0386012940050326;0,123228564581492;0,761639378089899;0,075494449246366;0,028679010949139;0,00725102361510515;0,00326433194548453;0,000443241572514554;0,0783518842160995;0,670771595970406;0,075947830819958;0,0349253036864819;0,0121389253383094;0,00641207511073504;0,00131104210182643;0,120141342756184;1,78676151014192;0,383553242403668
