fait;7;8;8;7;9;8;11;7
*id_775904867898898;0;0;0;0;0;0;0;0
*id_10160114601274160;0;0;0;0;2;0;0;0
*phase_Après;3;8;7;0;0;0;10;7
*id_678379907782506;0;0;0;0;0;0;2;0
*platform_Facebook;7;8;8;7;9;8;11;7
*id_6336052586407540;0;0;0;0;0;1;0;0
*phase_Pic;0;0;1;3;9;7;0;0
*id_10161139794274300;0;0;0;0;0;1;0;0
*id_771143475196610;0;0;2;0;0;0;0;0
*id_765222945644684;0;0;0;0;0;0;0;2
débunkage;3;8;7;0;0;0;10;7
*id_10159747517141408;2;0;0;0;0;0;0;0
*id_6148531251881822;0;0;0;2;0;0;0;0
*id_774439091393513;0;0;0;0;0;0;0;0
*id_811595517678757;0;0;2;0;0;0;0;0
*id_10160886137242444;2;0;0;0;0;0;0;0
*id_782939367350354;0;0;0;0;0;0;0;0
*id_801706851997523;0;0;0;0;0;0;0;0
*phase_Fin;4;0;0;4;0;1;0;0
du;7;8;8;7;9;8;11;7
*id_866680028656064;0;2;0;0;0;0;0;0
*id_787930600044362;0;0;2;0;0;0;0;0
*id_10168202689905712;0;0;0;0;0;0;0;0
*id_878401554150578;0;0;0;0;0;0;0;0
*id_671368948527826;0;0;0;0;0;0;2;0
*id_609200551245622;0;0;0;0;0;3;0;0
*id_769236291894499;0;0;0;0;0;0;0;0
